gene,BrownBear1_S,BrownBear1_W,BrownBear2_S,BrownBear2_W,BrownBear3_S,BrownBear3_W,BrownBear4_S,BrownBear4_W,BrownBear5_S,BrownBear5_W
ADIPOR2,2256,2969.5,1397,2119,1786,3269,2012,1961,2291,3001
ADIRF,444,699,290,829,522,1482,275,937,420,1106
ADISSP,509,689,635,641,534,490.5,571,693.5,591,697
ADK,1170,429,1125,491,1012,464,1266,539,1221,470
ADM,144,100,93,110,127,128,122,133,129,202
ADM5,23,32,49,25,54.5,52,31,33,26.5,11
ADNP,1955,2105,2560,2130,2522,2062,3005,2352,2688,2000
ADNP2,562,835,532,918,735,1223,580,770,674,1042
ADO,644,598,591,534,687,735,629,576,555,679
ADORA1,76,77,46,33,106,77,111,76,126.25,130
ADORA2A,16,17,27,15,31,28,39,30,23,45
ADORA2B,279,222,303,436.5,303,312,266,181,348,236.5
ADPGK,1527,874,1417,551,1523,615,1568,1067,1364,741
ADPRH,742,819,484.5,628.5,724.5,621,729.5,948,430.5,597
ADPRM,57,44,50,42,68,50,97,52,72,47
ADPRS,574,775,695,823,753,1031,552,685,555,919
ADRA1A,52,53,39,54,49,32,57.5,87,59,80
ADRA1B,23,4,7,4,12,16,10,11,6,10
ADRA1D,12,4,12,4,21,15,15,9,6,18
ADRA2A,483,240,453,158,498,220,450,299,403,183
ADRA2B,57,20,72,44.25,109,98,85.75,66,77,110
ADRA2C,108,61,74,56,118,88,76,52.5,72,90
ADRB1,44,1,19,3,17,2,30,7,51,13
ADRB2,136,321,123,133,129,194,211,271.5,350,459.5
ADRB3,2,0,0,0,1.5,0,3,1,1,1
ADSL,609,1069,653.5,989,674,890.5,666,703,609,824
ADSS1,43,287,27,216.5,44,590.5,33,215.5,84,579
ADSS2,738,1001,644,1024,657,1253,737,1134,871,1196
ADTRP,3,8,5,19,3,28,1,57,6,34
AEBP1,3673,568.25,3452,686,3368,1391,4081,1010,5777,1714
AEBP2,796,711,637.5,917,681,895,757,881,851,841
AEN,720,1026.5,733,909.5,714.5,1039.25,604.75,677,481.5,1150.5
AFAP1,939,1224,1086,1497,938,1424,1147,1046,894,1428
AFAP1L1,181,215,183,208,254,446,252,354,175,403
AFAP1L2,1989,829,1904,782,2357,1172,1741,1069,1610,874
AFDN,5650,4483,4602.5,4005.5,5633.5,4888,5049,4533.5,4929.5,5420
AFF1,1755,3875,1635,2597,1684,2504,2302,3955,2180,3413
AFF2,104,42,55,17,39,31,63,10,94,39
AFF3,127,41,128,41,131,61,69,53,91,47
AFF4,1966,2179,1858,2595,1976.75,2528,2389,2609,2137,3413
AFG1L,131,187,212,193,191,154,201,222,139,168
AFG2A,138,57,156,80,152,111,175,151,166,120
AFG2B,125.5,199,140,260,146,222,133.5,171,102,228
AFG3L2,1298,1631,1397,1838,1414,2113,1302,1491,1242,2188
AFM,0,0,0,0,0,0,0,0,0,0
AFMID,127,47,176,71,130,119.5,101,62,59,75
AFP,0,0,0,0,0,0,0,0,0,0
AFTPH,917.17,947,793,1040,932,1133,969,999,904,1162
AGA,259,238,202,252,228,350,212,230,232,292
AGAP1,826,770,818,820,1067,1171,1082,911.5,933,1052
AGAP2,128,39,223,72,210,44,149,54,179,31
AGAP3,1419,1641,1369,2175,1556,1922,1703,1296,1583,1613
AGBL1,0,25,0,16,0,18,0,8,0,22
AGBL2,35,63.5,60,73,72,172,86,128,58,98
AGBL3,277,855,313,1108,451,676,410,1148,392.25,624
AGBL5,267,475,280,541,299,552,267,432,243,476
AGER,125,196,260.5,139,287.5,219,305,137,304.5,189
AGFG1,1097,632,803,683,831,966,926.5,860,838,800
AGFG2,264,73,289,121,279,182,261,117,279,162
AGGF1,561,870,540,957,541.5,953,547,1071,536,928.83
AGK,417,524,486,493,569,605,489,523,455,593
AGL,788,706,599,723,641,573,658,1073,682,821.5
AGMAT,11,6,6,1,6,0,2,6,7,5
AGMO,356,765,352.25,874,354,478,402,722.5,464,794
AGO1,782,1154,800,1002.5,976,903,935,1175,785,947.5
AGO2,1370,1662,1742,1953,1921,2184.5,2098,1948,1927,2759
AGO3,545,852,721,796.5,672,852,781.5,920,1026.5,1107.5
AGPAT1,667,488,817,263,896,307,825,703,901,427.5
AGPAT2,2184,749,1257,550,1486.17,814,1490,517,1152,722
AGPAT3,813.5,748,692.75,716,833.5,832.5,725.5,866,764.5,811.5
AGPAT4,71,30,102,25,75,43,96,49,133,56
AGPAT5,927,425,825,453,984,763,859,623,706,676
AGPS,654,719,570,637,693,857,661,859,731,910
AGR2,3,4,5,18,4,10,0,10,1,40
AGRN,4534,5562,5298,5977,5558,4515,6371,5216,7737.25,4318.83
AGRP,0,0,0,0,0,0,0,0,0,0
AGT,867,245,561,302,702,374,897,225,2113,564
AGTPBP1,273,382,244,339,334,406,302,448,285,444
AGTR1,293,97,114,96,222,118,266,202,310,136
AGTR2,8,5,8,5,6,2,8,8,8,5
AGTRAP,634,249,648,391,767,752,373,266,297,356
AGXT,0,0,0,0,0,0,2,0,0,0
AGXT2,0,1,0,1,0,0,2,1,0,0
AHCTF1,1245,3357.5,1466,4109,1683,3877.5,1628,2698,1543,3926.5
AHCY,7082,3384,4694,2987,8337,1576,6667,2793,5931,1329
AHCYL1,1627,1772,1607,1724,1959,1724,1580,1653,1848,2228
AHCYL2,1021,468,948,540,923,314,1027,609,865,389
AHDC1,935,1375,865,1961,951,1756,1021,1573,903,1737
AHI1,277,440,267,640,284,696,373,509,339,747
AHNAK,42493.98,62520.73,44197.49,55301.24,48072.07,44928.49,51784.98,78889.21,41580.99,49796.99
AHNAK2,9600.95,10662.96,6981.98,8476.47,8261.22,7253.48,8846.95,10513.94,6133.97,6961.29
AHR,570,1277,670,1007,728,956,893,2472,873.5,972
AHRR,140,752,241,705,179,1847,262,639.5,269,1553
AHSA1,1282,1415,2240,1491,1825,1696,3166,1284,3254,1492
AHSG,0,0,0,0,0,0,0,0,0,0
AHSP,40,2,21,1,36,1,24,0,25,0
AICDA,0,0,0,0,0,0.5,0,0,0,0
AIDA,1369,1645,1330,1622,1319,1703,1480,2289,1641,1727
