gene,BrownBear1_S,BrownBear1_W,BrownBear2_S,BrownBear2_W,BrownBear3_S,BrownBear3_W,BrownBear4_S,BrownBear4_W,BrownBear5_S,BrownBear5_W
LOC113257654,10782.22,3158.36,9896.09,3450.99,8438.93,4357.17,6269.02,4064.44,6023.18,4203.92
LOC113257657,11294.09,8512.06,11442.11,8298.78,12426.13,9849.61,12090.67,9304.63,14904.97,10967.25
LOC113257675,0,1,0,0,0,0,1,1,9,0
LOC113257689,15,33,53,53,61,70,51,158,40,80
LOC113257698,2,2,3,7,4,0,1,9,1,0
LOC113257710,126,128,104,122,150,105,74,140,96,179
LOC113257721,7,6,4.5,9,4,7,3,8,2.5,3
LOC113257737,415,387,325,294,353,323,367,500,322,502
LOC113257773,1491,1224,1396,1260,1612,2034,1633,943,1741,1414
LOC113257804,19.5,199,24.5,273,32,472.5,24,82,37.5,275.5
LOC113257811,1,0,1,0,0,0,2.12,1,0,0
LOC113257812,2.75,0,0,0,0,0,2,0,0,0
LOC113257814,0,0,0,0,0,0,0,0,0,0
LOC113257816,0,0,0,0,0.5,0,0,0,0,0
LOC113257817,0,0,0,0,0,0,0,0,0,0
LOC113257819,0,0,0,0,0,0,0,0,0,0
LOC113257855,1569,979,1266,1019,1249,1244,987,653,729,866
LOC113257856,11,22,6,18,5.5,24,9,20,4,39.5
LOC113257881,0,0,0,0,0,0,0,0,0,0
LOC113257882,0,1,2,2,0,0,0,0,1,2
LOC113257885,0,0,0,0,1,0,0,0,0,0
LOC113257889,16.25,103.58,1.5,2.67,2.42,5.92,24.58,76.17,17,109.75
LOC113257891,0,0,0,0,0,0,0,0,0,0
LOC113257893,0,0,0,0,0,0,0,0,0,0
LOC113257894,0,2,1,1,0,0,0,0,0,0
LOC113257895,0,1,0,0,0,0,0,1,0,0
LOC113257907,0,0,0,0,0,0,0,0,0,1
LOC113257911,13,14,32,19,25,12,12,24,16,30
LOC113257916,3,9.75,9.58,7.75,14.08,9.25,5,10.92,8.75,11
LOC113257917,486,163.25,461.42,150.25,725.92,164.75,706,437.08,415.25,111
LOC113257933,170,210.5,105,171.5,106.5,235,149,282,123,263.5
LOC113257938,0,2,0,2,0,0,0,1,0,0
LOC113258015,529,362,409,369,452,236,465,345,464,231
LOC113258025,22,31,35,15,15,13,59,32,33,28
LOC113258030,0,0,1,0,4,0,4,1,5,2
LOC113258044,4,3,2,5,0,5,1,8,0,8
LOC113258058,175,116,229,93,203,193,250,233,198,191
LOC113258075,0,0,0,0,0,0,0,0,0,0
LOC113258078,11.5,103.42,0.25,0,0,1.25,8.25,67.42,11.5,107.5
LOC113258080,39.75,154.33,107.75,276.33,96.17,301.58,59.42,116.67,55,158.5
LOC113258081,0,0,0,0,0,0,0,0,0,0
LOC113258084,3,0,5,0,0,0,1,1,1,0
LOC113258085,9,2,9,5,7,0,9,0,3,6
LOC113258092,2,0,1,2,1,1,2,2,2,1
LOC113258106,0,0,0,0,0,0,0,0,0,0
LOC113258107,0,0,0,0,0,0,0,0,0,0
LOC113258108,0,0,0,0,0,0,0,0,0,0
LOC113258109,0,0,0,0,0,0,0,0,0,0
LOC113258110,0,0,0,0,0,0,0,0,0,0
LOC113258111,0,0,0,0,0,0,0,0,0,0
LOC113258112,0,0,0,0,0,0,0,0,0,0
LOC113258113,0,0,0,0,0,0,0,0,0,0
LOC113258114,0,0,0,0,0,0,0,0,0,0
LOC113258115,0,0,0,0,0,0,0,0,0,0
LOC113258118,0,0,0,0,0,0,0,0,0,0
LOC113258119,0,0,0,0,0,0,0,0,0,0
LOC113258120,0,0,0,0,0,0,0,0,0,0
LOC113258121,1,0,1,0,0,0,1,0,2,0
LOC113258122,0,0,0,0,0,0,0,0,0,0
LOC113258123,0,0,0,0,0,0,0,0,0,0
LOC113258125,0,0,0,0,0,0,0,0,0,0
LOC113258126,0,0,0,0,0,0,0,0,0,0
LOC113258128,2,4,4.5,3,2.5,14.5,1,1,2,7
LOC113258129,0,0,0,0,0,0,0,0,0,0
LOC113258130,0,1,0,2,0,1,0,2,0,1
LOC113258131,1,0,0,0,2,5.5,2,0,1,0
LOC113258132,6,11,8,5,7,9,10,7,6,14
LOC113258133,2,11,6,8,8,9,2,4,12,8
LOC113258134,0,0,0,0,0,0,0,0,0,0
LOC113258135,0,0,0,0,0,0,0,0,0,0
LOC113258136,1,0,0,0.5,0.5,1,1,1,1.5,2
LOC113258137,0,0,0,0,0,0,0,0,0,0
LOC113258138,0,0,0,0,0,0,0,0,0,0
LOC113258139,0,0,0,0,1.5,0,0,0,0,1
LOC113258140,0,0,0,0,0,0,0,1,0,0
LOC113258141,12.5,23.5,24,25.5,25.5,40,27.5,17,22,51
LOC113258142,3,4,2.5,1,3,2,3,0,2,2
LOC113258143,1,0,0,0,2,0,0,0,0,0
LOC113258186,1,0,0,0,0,0,0,0,0,0
LOC113258193,0,0,0,0,0,0,0,0,0,0
LOC113258218,2,4,7,4,4.5,5,14,4,9,15
LOC113258223,0,0,0,0,0,0,0,0,1,0
LOC113258247,0,0,0,0,0,0,0,0,0,0
LOC113258253,37.75,27.83,34.16,39.67,32.46,19.92,45.04,32.87,38.75,47.58
LOC113258254,3.33,7.12,6.01,6.42,6.96,6.42,4.79,6.92,3,8.62
LOC113258255,0,0,0,0,0,0,0,0,0,0
LOC113258264,0,0,0,1,1,1,0,0,0,3
LOC113258266,417.5,2413,391,1613,577.5,1618.5,406,1623,605.5,1698
LOC113258270,1,3,0,3,0,4,0,0,0,4
LOC113258273,20,28.5,51,43,47,34,31,30,16,13
LOC113258285,22,4,15,1,0,4,2,6,8,17
LOC113258286,1,1,0,0,0,0,0,0,1,0
LOC113258288,0,0,0,0,0,0,0,0,0,0
LOC113258289,0,0,0,0,0,0,0,0,0,0
LOC113258294,0,0,2,0,0,0,0,0,1,3
LOC113258317,186.5,198.5,149.5,222.5,229.5,290.5,222.5,167.5,186,246
LOC113258327,6,0,5,1,4,0,7,3,3,0
LOC113258344,1,1,3.5,0,0,0,1,0,1.5,0
LOC113258353,0,0,0,0,0,0,0,0,0,0
LOC113258360,1,1,0,9,0,2,0,1,0,1
LOC113258361,5,37,10,23,5,17,5,23,13,32.5
LOC113258404,6,4,10,1,8.5,12,14,5,17,12
LOC113258413,67,67,93,52,81,36,77,78,73,68
LOC113258419,2018.83,2203.75,2167.9,2690.33,2212.58,3028.5,2245.17,2279.42,2117.83,3411.92
LOC113258421,4.67,6.33,10.67,12.58,10.58,12.08,5.25,6.83,15.5,14.83
LOC113258422,220.83,156.63,151.08,73.29,281.41,62.08,502.95,106.62,350.03,61.17
LOC113258426,24,38,35,9,75,10,35,41,21,24.5
LOC113258438,1,0,1,0,1,0,1,0,1,0
LOC113258454,0,0,1,0,0,0,0,0,0,0
LOC113258460,79,181,69,125,138,286,123,234,98,141
LOC113258465,13,12,11,13,21.5,18,19,19,11,17
LOC113258470,116,252,82,223,192.5,288.5,90,336,85,261
LOC113258476,66.62,87,141,61.5,64.5,30,143.5,108.5,95,61
LOC113258491,0,1,0,0,0,2,1,2,4,1
LOC113258494,9,2,12,0,18,0,9,10,3,0
LOC113258495,5,7,7.5,2,15.5,1,13,3,10,2
LOC113258537,447.5,362,417,295.5,477,325.5,507,408,453,327
LOC113258542,2572,2666.5,2580,2839,3113,2858,2764,2646,2680,3020
LOC113258560,27,75,33.5,66,45,59,25.5,25.5,30,53
LOC113258562,15,8,13.5,7,17,25,16.5,17.5,21,23
LOC113258591,338,26,52,9,68,22,47,11,696,90
LOC113258593,41,3,10,0,18,1,24,2,58,8
LOC113258594,460.5,1221.5,725,1474.5,947.5,1743.5,833.5,803.5,802,1136.5
LOC113258595,167.5,341.5,208.5,228.5,280,247.5,192,287.5,158.5,232
LOC113258602,30,41,32,26,20,27,35,35,26,36
LOC113258608,3,21,12,30,9,41,7,26,6,44
LOC113258629,0,0,0,0,0,0,0,0,0,0
LOC113258682,0,0,0,0.5,0,0,0,0,0,0
LOC113258705,28,10,21,6,15,6,30,22,18.5,15
LOC113258708,20,8,32,11,21,12,12,36,11,16
LOC113258711,35,40,65,64,64,69,56,66,41,68
LOC113258717,6,5.5,7,11,11,17,8,16,8,10
LOC113258739,56,343,21,122,47,321,31,137,29,134
LOC113258741,10,0,15,0,6,0,5,1,2,0
LOC113258751,1,6,8,4,2,5,5,11,3,5
LOC113258753,2,13,1,2,6,34,0,0,0,1
LOC113258762,18,20,16,23,38,9,36,37,5,8
LOC113258763,388,755,366,793,547,1005,451,701,376,972
LOC113258791,3186,4155,2878,4758,3219,5328,2874,3013,2827.5,4398
LOC113258836,0,0,0,0,0,0,0,0,0,0
LOC113258837,0,0,0,0,0,0,0,0,0,0
LOC113258838,0,0,0,0,0,0,0,0,0,0
LOC113258839,0,0,0,0,0,0,0,0,0,0
LOC113258840,0,0,0,0,0,0,0,0,0,0
LOC113258841,0,0,0,0,0,0,0,0,0,0
LOC113258842,2,2,0,1,0,2,0,0,2,1
LOC113258843,0,0,0,0,0,0,0,0,0,0
LOC113258844,0,0,0,0,0,0,0,0,0,0
LOC113258846,0,0,0,0,0,0,0,0,0,0
LOC113258847,0,0,0,0,0,0,0,0,0,0
LOC113258848,0,0,0,0,0,0,0,0,0,0
LOC113258849,4,6.5,9.5,17,14.5,25.5,14.5,9.5,9.5,18.5
LOC113258850,6.5,22.5,13.5,11.5,8,8,13.5,17,12,11
LOC113258851,9,10,8,24.5,15,27,11.5,7.5,7,12
LOC113258852,2.5,10,4.5,8,4,12.5,5,9,7,8.5
LOC113258853,24,49,20,28,54,15,30,46,30,33
LOC113258855,10.5,31.33,19.17,26.5,26.33,17.83,12,19.33,17,28
LOC113258856,5,45.17,30.67,68.5,33.83,66.33,10,25.33,18,44
LOC113258857,0,0,2,2,1,2,1,0,1,2
LOC113258858,0,0,0,0,0,0,0,0,0,0
LOC113258859,6.5,18.5,16,14,24,14.5,13.5,22,23.5,20.5
LOC113258860,1,1,3,3,2,3,3,5,3,5
LOC113258861,14,13,23,15,18,15,13,9,18,8
LOC113258862,18,31,39.5,38,40,40,16,38,33.5,12
LOC113258863,96,125.5,152.5,129,137.5,108.5,119,99,146,57
LOC113258864,75,149.83,148.5,264,188.5,191,88.5,92,91,152
LOC113258865,15.5,17,30.5,23.5,26.5,43.5,16.5,11.5,28.5,24.5
LOC113258866,0,0,0,0,0,0,0,0,0,0
LOC113258910,0,0,0,0,0,0,0,0,0,0
LOC113258918,6,0,1,0,3,1,2,0,9,1
LOC113258922,0,0,0,0,0,0,0,0,0,0
LOC113258925,151,46,83,65,30,18,57,106,50,28
LOC113258933,0,0,0,0,0,0,0,0,0,0.5
LOC113258946,191,296,197,205.25,203,250.5,230,351.25,192,292
LOC113258951,320,408,359,257,423,248,248,547.75,243,263
LOC113258953,405,521.5,338,497.5,357,425,374,596,312.5,402.5
LOC113258955,19,18,35,13,46,29.5,27,30,23,47
LOC113258956,0,2,1,1,1,0,1,1,0,1
LOC113258957,49,31,38,30,81,48,48,49,43,36
LOC113258964,63,101,64,104,83.5,136.5,78,178.17,52,194
LOC113258965,24,10,6,25,54,11,22,21,10,21
LOC113258981,25,34,30,9,24,12,25,29,42,23
LOC113258998,36,15,70,19,33,12,46,41,42,14
LOC113259011,55.5,42,15,11,22.5,38.5,21,34.5,17,58.5
LOC113259016,181,147,175,135,165,172,202,153,190,171
LOC113259021,2,1,2,1,6,1,2,2,0,0
LOC113259034,150,158.5,142,123.5,201.5,131,170.5,139,121.5,149.5
LOC113259035,182.5,216,158,179.5,213,199,123.5,230,108.5,233
LOC113259036,363.5,289,350,214,481,241.5,403.5,323.5,338.5,229.33
LOC113259037,0,0,0.5,0,0,0,1.5,0,0.5,1
LOC113259038,162,90,99.5,53.5,175,155,241.5,120,118,114
LOC113259039,146.5,157,147.5,196,167.5,248,138,177.5,108,243
LOC113259040,171.5,154.5,175.5,127,156.5,140,184,175,169.5,148.5
LOC113259051,190.5,303,227,397.5,259,541,255.5,522,195,507.5
LOC113259102,35,53,28,34,35,38,25,34,15,26
LOC113259115,1381,1169,1373.5,1800.5,1519.5,1527.5,1400.5,1291,1154,1759
LOC113259121,1,0,2,0,6,0,0,0,0,1
LOC113259124,144.25,101,143.25,93,183,114,138.5,122,134,113
LOC113259135,73,26,46,24,95,44,77,27,75,37
LOC113259160,0,0,0,0,0,0,0,1,0,0
LOC113259175,0,0,0,0,0,0,0,0,0,0
LOC113259178,8,14,7,19,16,26,9,22,11,41
LOC113259181,0,0,0,0,0,0,0,0,1,0
LOC113259182,24,30,25,31,39,14,28,41,38,14.5
LOC113259202,21.5,10.5,40.5,21,36.5,26,33,16,29,19.5
LOC113259212,19,12,13,4,25,2,17,34,31,1
LOC113259231,0,1,0,0,1,1,0,0,1,0
LOC113259238,3,1,4,0,1,0,2,3,8,0
LOC113259239,0,1,0,0,0,0,0,0,0,0
LOC113259241,0,0,0,0,0,0,0,0,0,0
LOC113259254,236,291,245,510,536.25,396.25,236,712,161,328
LOC113259257,16696,16269,10240,9676,11386.75,13078.75,9084,10136,9795,11730
LOC113259263,0,0,1,0,0,1,1,0,0,0
LOC113259266,0,0,0,0,0,0,1,0,0,0
LOC113259287,0,0,0,0,0,0,0,0,0,0
LOC113259291,0,0,0,0,0,0,0,0,0,0
LOC113259292,0,0,0,0,0,0,0,0,0,0
LOC113259293,0,0,0,0,0,0,0,0,0,0
LOC113259294,0,0,0,0,0,0,0,0,0,0
LOC113259295,0,0,0,0,0,0,0,0,0,0
LOC113259296,0,0,0,0,0,0,0,0,0,0
LOC113259297,0,0,0,0,0,0,0,0,0,0
LOC113259298,0,0,0,0,0,0,0,0,0,0
LOC113259299,0,0,0,0,0,0,0,0,0,0
LOC113259301,0,0,0,0,0,0,0,0,1,0
LOC113259302,0,0,0,0,0,0,0,0,0,0
LOC113259304,0,0,0,0,0,0,0,0,0,0
LOC113259305,0,0,0,0,0,0,0,0,0,0
LOC113259306,0,0,0,0,0,0,0,0,0,0
LOC113259308,0,0,0,0,0,0,0,1,0,0
LOC113259309,0,0,0,0,0,0,0,0,0,0
LOC113259310,0,0,0,0,0,0,0,0,0,0
LOC113259312,0,0,0,0,0,0,0,0,0,0
LOC113259315,0,0,1,0,1,0,3,0,0,0
LOC113259317,0,0,0,0,0,3,1,0,1,2
LOC113259318,1,1,3,0,1,0,0,0,1,0
LOC113259319,0,0,0,0,0,0,0,0,0,0
LOC113259320,0,0,0,0,0,0,0,0,0,0
LOC113259321,0,0,0,0,0,0,0,0,0,0
LOC113259322,4,5,1.5,1.5,5.5,1.5,1.5,6,1,6
LOC113259323,0,0,0,0,0,0,0,0,0,0
LOC113259325,0,0,0,0,0,0,0,0,0,0
LOC113259332,29.5,10,27.5,22,22,18,19.5,23,33.5,17
LOC113259338,0,1,0,2,1,1.5,1,0.5,0,2
LOC113259344,0,0,0,0,0,0,0,0,0,0
LOC113259349,25,13,18,7,24,7,53,29,6,6
LOC113259353,0,0,0,0,0,0,0,0,0,0
LOC113259354,7873.08,5767.98,6331.17,6469,8331.5,5423.37,8245.67,6426.95,7895.92,4730.08
LOC113259355,0,0,0,0,0,0,0,0,0,0
LOC113259357,0,0,0,0,0,0,0,0,0,0
LOC113259358,0,0,0,0,0,0,0,0,0,0
LOC113259359,0,0,0,0,0,0,0,0,0,0
LOC113259360,1,0,0,0,0,0,1,0,0,0
LOC113259369,1,2,0,0,0,0,0,0,1,0
LOC113259376,21,43,29,42,20,24,16,21,22,28
LOC113259389,11,3,4,0,4,1,11,4,12,3
LOC113259414,6,8,1,12,3,5,5,19,14,9
LOC113259427,65,95.5,72.22,80,90.22,113,75,85,69.11,95
LOC113259441,0,12,0,0,0,4,2,7,0,0
LOC113259452,79,260,130.5,199,131.5,217,137,320,157,201.5
LOC113259453,2,1,8,0,4,1,4,2,3,1
LOC113259463,13149,13646.5,12338,15022,11843.5,12588.5,12772.5,10941.5,12415.5,8425
LOC113259468,1990.5,1188,2276,561,1857.5,673,2136.5,1871,4585,1480
LOC113259469,17,10,11.5,6,16,12.5,12.5,7,13.5,8.5
LOC113259471,4,2,1,0,4,0,11,2,0,0
LOC113259478,1,4,0,1,2,0,0,8,1,4
LOC113259502,18,33,67,38,44,21,33,27,17,30
LOC113259553,64,93.5,34,63,79,118,47.5,89,43,131.5
LOC113259554,168.5,304.5,138.5,236,189.5,165,176,282,165.5,217
LOC113259557,36,262,40,210,44,174,35,102,23,136
LOC113259584,15,11.5,14.5,15.5,13,13,18,21,18,15
LOC113259588,1,1,0,2,0.5,1,0,3,0,2.5
LOC113259589,30,44,34,30,67,20,30,15,22,9
LOC113259590,12,13.5,11,19,12,15,16.5,18,10,8.5
LOC113259593,91.5,404.5,178,454.5,142,455.5,166,323,128.5,469.5
LOC113259624,2,2,1,1,2,0,3,0,1,0
LOC113259631,2,7,3,13,6,7,5,7,6,13
LOC113259644,19,80,46,54,43,105,29,57,26,85
LOC113259669,0,0,0,0,0,0,0,0,1,0
LOC113259675,0,0,0,0,0,0,0,0,0,0
LOC113259676,0,0,0,0,0,0,0,0,0,0
LOC113259690,0,0,0,0,0,0,0,0,0,0
LOC113259691,0,0,0,0,0,0,0,0,0,0
LOC113259692,0,0,0,0,0,0,0,0,0,0
LOC113259693,1,0,0,0,0,0,0,1,0,0
LOC113259694,3.5,8,1.5,6,2.5,5,1.5,4,1.5,7
LOC113259695,0,0,0,0,0,0,0,0,0,0
LOC113259696,0,0,0,0,0,0,0,0,0,0
LOC113259697,0,0,1.5,0,0,0,0,0,0,0
LOC113259699,0,1,0,0,0,2,0,0,0,0
LOC113259700,0,0,0,0,0,0,0,0,0,0
LOC113259701,0,4,0,6,2,10,0,1,0,2
LOC113259702,0,0,0,1,0,1,0,1,0,0
LOC113259703,0,0,0,0,2,0,0,0,0,0
LOC113259704,19,18,12,16,16,15,15,22,3,13
LOC113259706,0,0,0,0,0,0,0,0,0,0
LOC113259707,14,9,18,2,20,6,2,16,6.5,3.5
LOC113259708,2.5,1.5,7,6.5,3,5,23.5,2,11,2.5
LOC113259709,6.5,8,11,3,7,1.5,41,4.5,31.5,5.5
LOC113259710,1,3.5,8.5,4,9.5,2.5,3.5,1,0,2
LOC113259712,2,4,5.5,4,11,2,8,7.5,5,0.5
LOC113259714,0,0,0,1,1,0,0,0,0,0
LOC113259715,0,0,0,0.5,0,0,0,0,0,0
LOC113259719,1,1,5,1,3,1,0,3,3,2
LOC113259720,3,9,10.75,2.5,6,9,6.33,3,0,9
LOC113259730,0.25,6.75,1.75,6.75,1.25,4.5,0,2.5,0,12.25
LOC113259749,0,0,0,0,0,0,0,0,0,0
LOC113259750,0,0,0,0,0,0,0,0,0,0
LOC113259751,0,0,0,0,0,0,0,0,0,0
LOC113259752,0,0,0,0,0,0,0,0,0,0
LOC113259753,0,0,0,0,0,0,0,0,0,0
LOC113259754,0,0,0,0,0,0,0,0,0,0
LOC113259755,0,0,0,0,0,0,0,0,0,0
LOC113259756,0,0,0,0,0,0,0,0,0,0
LOC113259757,0,0,0,0,0,0,0,0,0,0
LOC113259759,0,0,0,0,0,0,0,0,0,0
LOC113259760,0,0,0,0,0,0,0,0,0,0
LOC113259761,0,0,0,0,0,0,0,0,0,0
LOC113259762,0,0,0,0,0,0,0,0,0,0
LOC113259763,0,0,0,0,0,0,0,0,0,0
LOC113259764,0,0,0,0,0,0,0,0,0,0
LOC113259765,0,0,0,0,0,0,0,0,0,0
LOC113259766,0,0,0,0,0,0,0,0,0,0
LOC113259767,0,0,0,0,0,0,0,0,0,0
LOC113259768,0,0,0,0,0,0,0,0,0,0
LOC113259769,0,0,0,0,0,0,0,0,0,0
LOC113259770,0,0,0,0,0,0,0,0,0,0
LOC113259771,0,0,0,0,0,0,0,0,0,0
LOC113259772,0,0,0,0,0,0,0,0,0,0
LOC113259773,0,0,0,0,0,0,0,0,0,0
LOC113259774,0,0,0,0,0,0,0,0,0,0
LOC113259776,0,0,0,0,0,0,0,0,0,0
LOC113259777,0,0,0,0,0,0,0,0,0,0
LOC113259778,0,0,0,0,0,0,0,0,0,0
LOC113259779,0,0,0,0,0,0,0,0,0,0
LOC113259780,0,0,0,0,0,0,0,0,0,0
LOC113259781,0,0,0,0,0,0,0,0,0,0
LOC113259787,0,0,0,2,0,0,0,1,0,0
LOC113259792,0,1,1,0,0,0,4,0,3,0
LOC113259796,0,0,2,1,0,0,0,2,0,3
LOC113259798,0,0,1,0,0,0,0,0,0,1
LOC113259834,421,196,441,204,415,192,441,211,322,221
LOC113259842,786,214,467,148,245,69,238,184,165,62
LOC113259845,1.25,8,1,4,2,2,9,7,1,2
LOC113259854,540,412,631,214,894,246,684,383,664,299
LOC113259872,44,90,29.5,53,82,195,41,117,33,141
LOC113259883,214,257,262,128,199,43,249,331,183,159
LOC113259890,30,32,18.62,19,24.5,18,36.5,20,24.11,10
LOC113259918,26,34,18,43,45,40,28,72,32,44
LOC113259922,0,0,0,0,0,0,0,0,0,0
LOC113259954,286,232,406,203,485,255,333,126,281,162
LOC113259955,60,39,51,39,42,24,49,41,71,40
LOC113259966,28,33,41,33,36,49,35,32,25.5,38
LOC113259972,392,157.5,324,168,373,212.5,325.5,126.5,247,263
LOC113260001,6,15,5,48,5,4,2,10,9,8
LOC113260002,2,16.5,7,70,3,13,4,9,5,14
LOC113260003,16,10,14,45,7,2,11,14,10,6
LOC113260029,11,1,1,2,4,1,1,2,5,2
LOC113260031,0,1,1,0,0,2,0,3,0,2
LOC113260049,1716,1906.5,1440.5,1801.5,1655,1797.5,1683.5,1884.5,1672.5,1703
LOC113260058,92.25,500,140,543.5,123,521,96,320,97.5,576.5
LOC113260060,4,15.5,9,17,7,11,6,15,1,15.5
LOC113260069,2,2.5,6,9,1,7,8,3,7,4.5
LOC113260083,85,75,89,56,120,61,82,106,84,69
LOC113260086,21,56,28,71,29,51,27,112,21,67
LOC113260089,0,0,0,0,0,0,0,0,0,0
LOC113260097,380,396,316,311,506,617.5,337.5,436,349.5,503
LOC113260099,298,308,291,418,391,468,376,425,366,471
LOC113260103,16,3.5,15.75,5.5,14.5,8.5,16.5,5,24.75,5
LOC113260113,12,8,2,3,4,2,7,9,0,7
LOC113260119,399,81,414,100,205,81,370,128,629,89
LOC113260124,449,425,500,471,722,666,321,520,632,757.5
LOC113260129,64,215,53,195,53,259,38,168,27,291
LOC113260130,156,148,157,207,171,184,178,137,148,168
LOC113260144,116.75,97,149,143.75,135.5,113,131,142,119,199.25
LOC113260145,53.5,27,81,36.5,99.5,19,124,63,36,14
LOC113260169,0,1,2,2,2,0,1,0,0,0
LOC113260179,57,106,63,91,56,131,54,214,47,182
LOC113260181,0,0,0,0,0,0,0,0,0,0
LOC113260182,0,0,0,0,0,0,0,0,0,0
LOC113260183,0,0,0,0,0,0,0,0,0,0
LOC113260185,0,0,0,0,0,0,0,0,0,0
LOC113260186,0,0,0,0,0,0,0,0,0,0
LOC113260187,0,0,0,0,0,0,0,0,0,0
LOC113260188,0,0,0,0,0,0,0,0,0,0
LOC113260189,0,0,0,0,0,0,0,0,0,0
LOC113260190,0,0,0,0,0,0,0,0,0,0
LOC113260191,0,0,0,0,0,0,0,0,0,0
LOC113260193,0,0,0,0,0,0,0,0,0,0
LOC113260194,0,0,0,0,0,0,0,0,0,0
LOC113260195,0,0,1,0,0,0,0,0,0,0
LOC113260217,0,0,0,0,0,0,0,0,0,0
LOC113260218,0,0,0,0,0,0,0,0,0,0
LOC113260219,0,0,0,0,0,0,0,0,0,0
LOC113260220,0,0,2,0,0,0,0,0,0,0
LOC113260222,0,0,0,0,0,0,0,0,0,0
LOC113260224,0,0,0,0,0,0,0,0,0,0
LOC113260225,0,0,0,0,0,0,0,0,0,0
LOC113260226,0,0,0,0,0,0,1,0,0,0
LOC113260227,23.5,30,86.5,39,59,30,512,38,310.5,44.5
LOC113260228,0,0,0,0,0,0,0,0,0,0
LOC113260230,0,0,0,0,0,0,0,0,0,0
LOC113260233,0,0,0,0,0,0,0,0,0,0
LOC113260234,0,0,0,0,0,0,0,0,0,0
LOC113260235,6.5,11.5,14,14.33,17,8.5,4.5,15.5,9.5,8.33
LOC113260236,22.5,49.67,29.5,56.83,39.17,38.83,23.5,43.5,33.5,31.33
LOC113260237,23,31.33,23.5,27.17,32,19.5,15,17.5,23.17,14.5
LOC113260238,0,0,0,0,0,0,0,0,0,0
LOC113260239,11,23,21,12.67,20,12.33,12.5,19,21.5,18.17
LOC113260240,3,4,3,0,7,1,1,5,0,0
LOC113260241,0,0,1,0,0,0,1,0,0,0
LOC113260242,0,0,0,0,0,0,0,0,0,0
LOC113260243,20.5,25.83,34,28.67,25,26,18,21.5,21.67,22.5
LOC113260244,42.5,87.17,104.17,112.67,86.17,117.17,36.67,93.33,63.33,70.67
LOC113260245,2,10.5,6,15,4,15.5,3.5,2.5,8.5,21
LOC113260246,1,13.5,0,22,2,51.5,9.5,9,4.5,30
LOC113260247,2,7,8,3.5,9,4,5.5,9.5,6,12
LOC113260248,0,0,1,0,0,0,0,0,1,0
LOC113260249,0,0,0,0,0,0,0,0,0,0
LOC113260250,0,0,0,0,0,0,0,0,0,0
LOC113260251,21,38.17,39.17,49.17,40.83,43.17,22.17,27.83,36.33,22.17
LOC113260252,0,0,0,0,0,0,0,0,0,0
LOC113260253,0,0,0,0,0,0,0,0,0,0
LOC113260266,3,17.2,3,11,3,5,4,9,0,5
LOC113260269,0,0,0,0,0,0,0,0,0,0
LOC113260272,0,0,0,0,0,0,0,0,0,0
LOC113260273,0,1,0,0,0,0,0,0,0,0
LOC113260274,0,0,0,0,0,0,0,0,0,0
LOC113260275,0,0,0,0,0,0,0,0,0,0
LOC113260276,0,0,0,0,0,0,0,0,0,0
LOC113260278,0,0,0,0,0,0,0,0,0,2
LOC113260288,0,0,0,0,0,0,0,0,0,1
LOC113260290,0,0,0,0,0,0,0,0,0,0
LOC113260291,0,0,0,0,0,0,0,0,0,0
LOC113260293,0,0,0,0,0,0,0,0,0,0
LOC113260294,0,0,0,0,0,0,0,0,0,0
LOC113260298,4,2,0,1,0,1,0,1,1,2
LOC113260308,0,0,0,0,0,0,0,0,0,0
LOC113260318,493.5,464.5,382,528,375.5,834.33,352,415.5,283,586.33
LOC113260321,0,0,0,0,0,0,0,0,1,0
LOC113260325,7,9,6,2,39,11,3,7,4,11
LOC113260329,212,228,146,90,111,80,175,214,57,39
LOC113260341,4,9,6,12,9,20,5,18,1,14
LOC113260347,1819,2132,1130,1453,1502,1726,1146,1703,1335,1895
LOC113260350,106,172,110,120,116,119,204,215,96,122
LOC113260353,854.15,689.6,551.08,662.66,678.96,541.56,843.13,951.22,484.33,758.87
LOC113260355,0,0.5,0,0,0,0,0,0,0,0
LOC113260357,0,0,0,0,0,0,0,0,0,0
LOC113260358,0,0,0,0,0,0,1,0,1,0
LOC113260359,0,0,0,0,0,0,0,0,0,0
LOC113260360,1,1,0.5,0,0,1,0,0,0.5,0
LOC113260361,0,1.5,1,0,0,1.5,1,0,0,0
LOC113260362,0,0,0,0,0.5,0,0,0.5,0,0
LOC113260363,0,0,0,0,0,0,0,0,0,0
LOC113260364,0,0,0,0,0,1,0,0,0,0
LOC113260365,0,0,0,0,0,0,0,0,0,0
LOC113260366,0,0,0,0,0,0,0,0,0,0
LOC113260368,0,0,0,0,0,0,0,0,0,0
LOC113260369,131.83,85.62,70.62,80.62,72.12,75.5,80.62,101.88,117.67,101.5
LOC113260370,147.83,136.71,151.88,75.04,166.87,75,139.88,90.62,140,91.5
LOC113260371,8.95,11.75,10.42,5.04,7.47,5.87,5.72,14.89,6.5,12.1
LOC113260385,0,1,0,0,0,0,0,0,1,1
LOC113260386,1,1,1,1,2,7,5,4,1,5
LOC113260422,49,17,54,20,87,18,88,95,33,22
LOC113260431,23,25,28,22,21,42,23,36,76,52
