"","BrownBear1_S","BrownBear1_W","BrownBear2_S","BrownBear2_W","BrownBear3_S","BrownBear3_W","BrownBear4_S","BrownBear4_W","BrownBear5_S","BrownBear5_W"
"ABCB1",175.889344831478,255.229915900321,194.016175007244,267.372334099015,286.411241030534,279.408644730162,143.243910498977,280.258470448459,141.029438468683,242.722479824593
"ABCB10",638.135123016642,771.625327140507,543.881408626863,822.527104136663,596.610791116761,879.480901868764,606.797120863722,739.544927036235,568.391373222268,825.441715739359
"ABCB4",61.1322722889892,219.616439263067,60.431267625207,200.01899802827,55.188877009206,141.579548168639,56.7007145725117,182.777263335952,52.3518370073141,126.919769984615
"ABCB6",1326.67755827157,1898.39615741363,1464.13299281423,1788.94542624264,1249.36199160496,2043.05851297659,1384.69113482344,1341.30391709614,1320.54837838858,1614.75298600864
"ABCB7",374.301105769425,366.027398771779,343.504047553808,413.304562252293,353.9700387487,346.916773658255,430.726480875396,462.098414485252,389.967765462646,301.087045583941
"ABCB8",614.540210905102,472.867828683541,715.633432403767,423.509613172103,727.922257104182,257.843547989243,648.576594759257,462.098414485252,617.53799571893,256.61880500539
"ABCB9",43.9723362078694,17.8067383186271,41.3477094277732,22.4511120235814,40.9158915757906,39.3797418747208,19.8949875693023,18.7463859831745,30.9837402696349,55.5853007231892
"ABCC1",1026.37867685198,1236.57904990466,1175.75922449745,1768.53532440302,1131.37197868872,1753.33612632685,1243.4367230814,863.271074525187,1084.43090943722,1475.78973420067
"ABCC10",348.561201647745,829.002595056083,546.001803982133,811.301548124872,446.268677884786,536.314579817626,379.994262573675,543.645193512061,450.866841165032,616.9968380274
"ABCC11",184.469312872038,145.421696268788,542.821210949228,169.403845268841,344.454715126423,236.278451248325,366.067771275163,223.081993199777,186.970846454693,102.8328063379
"ABCC12",3.21748801520996,27.6993707178643,6.36118606581126,4.08202036792389,3.80612944891076,1.87522580355813,3.97899751386047,7.49855439326981,3.20521451065188,18.5284335743964
"ABCC2",69.7122403295491,118.711588790847,97.5381863424394,119.399095761774,66.6072653559382,158.456580400662,75.6009527633489,113.415635198206,102.56686434086,141.742516844132
"ABCC3",85.7996804055988,145.421696268788,95.417790987169,215.326574407985,79.9287184271259,262.531612498139,67.642957735628,225.893951097253,87.6091966244849,379.832888275126
"ABCC4",127.627024603328,143.44316978894,187.654988941432,201.039503120251,153.196710318658,192.210644864709,122.354173551209,196.837052823332,126.071770752307,182.505070707804
"ABCC5",718.57232339689,294.800445497271,1016.72957285217,211.244554040061,790.72339301121,179.084064239802,836.584227289164,454.599860091982,732.925718102398,215.856251141718
"ABCC6",23.5949121115397,22.7530545182457,24.3845465856098,15.3075763797146,40.9158915757906,5.6256774106744,40.7847245170698,22.4956631798094,65.1726950499217,25.0133853254351
"ABCC8",2.14499201013997,8.90336915931354,7.42138374344647,5.10252545990486,4.75766181113845,31.8788386604883,17.9054888123721,28.1195789747618,6.41042902130377,19.4548552531162
"ABCC9",280.993953328336,218.627176023144,383.791559303946,322.479609065987,431.044160089143,188.460193257592,454.600465958559,421.793684621427,434.840768611772,266.809443471308
"ABCD2",34.3198721622395,6.92484267946609,4.24079071054084,1.02050509198097,36.1582297646522,4.68806450889533,14.9212406769768,8.43587369242853,32.0521451065189,9.26421678719819
"ABCD3",1452.15959086476,1284.063685421,1316.76551562293,1423.60460331346,1216.05835892699,1243.27470775904,1325.00617211554,1466.90470318341,1315.20635420416,1339.60574742886
"ABCD4",415.055953962084,516.395411240185,654.141967100925,652.102753775841,539.5188493831,360.043354283162,492.400942340233,557.704982999442,455.140460512568,528.060356870297
"ABCE1",1814.66324057842,1576.88560443842,1757.80774951918,1933.85714930394,1894.50093319533,2116.19231931535,1490.13456894075,1625.31166474123,1543.84498929732,2152.07755966614
"ABCF1",1918.6953530702,1749.01740818515,2332.43489079746,1845.0732063016,2111.45031178324,1846.15980360298,1868.13933275749,1449.09563649939,1850.47717748302,1952.89689874138
"ABCF2",949.158964486937,523.320253919651,1126.99013132623,546.990729301801,1042.87946900155,823.22412776202,858.468713615396,656.123509411108,802.372032499855,798.575487056484
"ABCF3",1362.06992643888,2647.26843003589,1537.28663257106,2913.54203760567,1624.26574232267,2956.2934793094,1376.73313979572,2023.67236688369,1406.02076533929,3113.70326217731
"ABCG1",803.299507797419,901.218811570515,665.804141554912,1247.05722240075,510.021346154041,1329.53509472272,480.463949798652,784.536253395854,426.293529916701,1207.12744737192
"ABCG2",83.6546883954589,73.2054797543558,93.2973956318985,109.194044841964,89.4440420494028,108.763096606372,104.448684738837,99.355845710825,103.635269177744,86.1572161209432
"ABCG4",72.929728344759,89.0336915931354,117.681942217508,123.481116129698,101.813962758363,190.335419061151,95.4959403326513,117.164912394841,71.5831240712254,138.036830129253
"ABCG5",137.279488648958,423.404666687355,102.839174730615,299.007991950425,346.357779850879,832.600256779811,9.94749378465117,382.42627405676,269.238018894758,12.9699035020775
"ABCG8",21.4499201013997,59.3557943954236,10.6019767763521,53.0662647830105,22.8367766934645,128.452967543732,2.98424813539535,29.9942175730792,16.0260725532594,73.1873126188657
"ABHD10",185.541808877108,249.294336460779,129.344116671496,288.802941030615,181.742681185489,286.909547944394,180.049637502186,252.138891473697,184.834036780925,289.043563760584
"ABHD11",232.731633100187,216.648649543296,233.243489079746,179.608896188651,271.186723234891,213.775741605627,190.991880665303,250.26425287538,236.117468951356,198.254239246041
"ABHD12B",82.5821923903889,61.3343208752711,29.6855349737859,26.5331323915053,24.7398414179199,42.192580580058,65.6534589786978,62.8003930436346,24.5733112483311,31.4983370764739
"ABHD13",1238.73288585583,631.149947071338,988.104235556016,638.836187580088,1157.06335246887,503.498128255359,1110.14030636707,607.382905854854,1151.74041416091,558.632272268051
"ABHD14A",353.923681673095,344.263607493457,447.403419962059,277.577385018824,346.357779850879,166.895096516674,364.078272518233,485.53139696422,442.31960246996,344.628864483773
"ABHD14B",1960.52269726793,2113.06628047708,2082.22823887555,2161.4297848157,1624.26574232267,1639.88496521159,1536.88778972861,2183.95396703983,1478.6722942474,1795.40521335901
"ABHD15",385.026065820125,226.541281942533,408.176105889556,211.244554040061,404.401253946768,315.037934997766,390.936505736791,255.888168670332,325.863475249608,338.143912732734
"ABHD16A",1850.05560874573,2459.30841445038,2001.65321537528,2004.27200065063,1834.55439437498,2359.97167377791,1828.34935761889,1842.76974214606,1653.89068749637,2392.02077445457
"ABHD17B",249.891569181307,86.0659018733642,186.594791263797,98.9889939221542,180.791148823261,141.579548168639,203.923622585349,108.729038702412,192.312870639113,138.963251807973
"ABHD17C",727.15229143745,552.998151117363,587.349513409907,693.943462547061,596.610791116761,533.501741112289,609.781368999117,550.206428606172,401.72021866837,535.471730300055
"ABHD18",311.023841470296,740.958166702871,205.678349461231,813.342558308834,246.446881816972,676.956515084486,188.007632529907,709.550709463156,190.176060965345,844.896570992475
"ABHD2",2148.20949815518,2004.24732408547,1755.68735416391,1649.13622864125,1458.69911129505,2105.87857739578,1839.291600782,2314.24134962289,1367.55819121147,2227.11771564245
"ABHD3",74.002224349829,38.5812663570253,64.6720583357478,31.6356578514101,63.7526682692552,55.3191612049649,63.6639602217675,52.4898807528887,41.6677886384745,48.1739272934306
"ABHD4",1306.30013417524,1287.03147514077,1098.36479403008,1340.943690863,1035.26721010373,1208.58303039322,1127.05104580098,1140.71758707617,1000.02692732339,1331.26795232038
"ABHD5",910.549108304418,180.045909666118,506.774489909631,186.752431832518,446.268677884786,220.339031918081,572.975641995908,268.073319559396,448.730031491264,248.281009896912
"ABHD6",383.953569815055,75.1840062342032,351.98562897489,48.9842444150866,320.666406070731,127.515354641953,314.340803594977,104.042442206619,212.612562539908,100.97996298046
"ABHD8",410.765969941804,407.576454848575,300.035942770765,358.197287285321,341.60011803974,367.544257497394,447.637220309303,309.31536872238,364.326049377431,354.819502949691
"ABI1",1787.85084045167,1962.69826800867,1362.35401576125,2283.89039585341,1502.46959995752,2210.89122239504,1738.82191355703,2581.37734988313,1735.08945509955,2164.1210414895
"ABI2",690.687427265071,265.122548299559,672.165327620723,240.839201707509,773.595810491111,314.100322095987,669.466331707024,330.87371260303,831.218963095722,360.37803302201
"ABI3",35.3923681673095,41.5490560767965,32.8661280066915,23.4716171155623,58.043474095889,19.6898709373604,27.8529825970233,49.6779228554125,34.1889547802868,20.381276931836
"ABI3BP",2206.12428242896,539.148465758431,2376.96319325814,816.404073584777,2442.58357383848,514.749483076708,2958.38465155526,1008.55556589479,3579.15620356127,486.371381327905
"ABITRAM",182.324320861898,160.260644867644,214.159930882313,97.9684888301733,188.403407721082,105.012644999255,179.054888123721,153.720365062031,204.065323844837,128.772613342055
"ABL1",1766.40092035027,3286.33248302662,1757.80774951918,4503.48897091203,1710.85518728539,5010.60334710733,1805.47012191419,2594.49982007135,2055.61090616474,5159.24232879067
"ABL2",746.45721952871,967.499448645405,938.274944707161,873.552358735712,857.330658367148,909.484514725694,1131.03004331484,1123.84583969131,1055.58397884135,1203.42176065705
"ABLIM1",6451.06347049596,7493.66904242223,5049.72153857651,6737.37461725837,5436.10438540679,5758.81844272703,6295.76881630573,6218.17623061899,6592.05784357404,6613.72436438079
"ABLIM2",154.439424730078,110.797482871457,202.497756428325,155.116773981108,262.622931974842,324.414064015557,254.65584088707,217.458077404824,164.53434488013,306.64557565626
"ABLIM3",905.186628279068,2631.44021819711,732.596595245931,1448.096725521,1107.58366963303,1850.84786811188,1003.7021228713,2500.76789015548,804.508842173623,1638.83994965536
"ABR",2517.14812389926,3747.32915283108,2146.9002972113,3672.79782603952,2268.45315155081,3987.66767126637,2223.26486086954,3605.86734386362,2270.36027837842,3698.27534144952
"ABRACL",82.5821923903889,24.7315809980932,77.3944304673704,19.3895967476385,100.862430396135,25.3155483480348,51.7269676801861,21.5583438806507,72.6515289081094,23.1605419679955
"ABRAXAS1",205.919232973437,251.272862940627,216.280326237583,260.228798455148,207.434054965636,254.093096382127,210.886868234605,350.557417885364,199.791704497301,261.250913398989
"ABRAXAS2",362.503649713655,474.846355163389,378.49057091577,553.113759853687,403.44972158454,524.125612094498,395.910252629117,433.97883551049,340.821142965984,586.424922629646
"ABT1",587.727810778352,456.050353604838,637.178804258762,468.411837219266,665.121121197155,418.175354193464,625.697359054559,403.047298638252,589.759469959947,328.879695945536
"ABTB1",551.262946605973,589.600890994541,391.212943047393,518.416586726334,367.291491819888,458.492708969963,380.98901195214,534.272000520474,302.358568838161,454.873044251431
"ABTB2",387.171057830265,276.993707178643,430.440257119895,334.725670169759,316.860276621821,287.847160846173,312.351304838047,389.92482845003,317.316236554537,300.160623905221
"ABTB3",546.972962585693,774.593116860278,513.135675975442,969.479837381923,382.516009615531,1026.68612744808,465.542709121675,533.334681221315,443.388007306844,757.812933192812
"ACAA1",2391.66609130607,1099.07145955526,1649.66758640039,1219.50358491726,1677.55155460742,1007.9338694125,1217.5732392413,1037.61246416871,1181.65574959366,901.408293394384
"ACAA2",1778.19837640604,2309.9296652219,1429.14646945226,2102.2404894808,1556.7069446045,1712.08115864858,1474.2185788853,2236.44384779272,1194.47660763627,1834.31492386524
"ACACA",3198.1830871187,1205.91188946702,2597.48431020627,1028.66913271682,3289.44737622112,1364.22677208854,3734.28916675805,1184.77159413663,5316.38246833459,1327.5622656055
"ACACB",113.684576537418,260.17623209994,93.2973956318985,205.121523488175,154.148242680886,206.274838391395,173.08639185293,299.942175730792,153.85029651129,251.986696611791
"ACAD10",149.076944704728,152.346538948254,152.66846557947,87.7634379103635,152.24517795643,212.838128703848,152.196654905163,155.595003660349,126.071770752307,163.976637133408
"ACAD11",935.216516421027,1269.22473682214,729.416002213025,1136.8426724668,651.799668125967,993.86967588581,741.088286956513,988.871860612456,647.453331151681,1215.4652424804
"ACAD8",457.955794164884,316.564236775593,504.65409455436,319.418093790044,399.643592135629,208.150064194953,387.952257601396,289.631663440046,379.283717093806,215.856251141718
"ACAD9",2555.75798008178,1563.03591907949,2778.77811308189,1750.16623274737,2584.3618958104,1165.45283691138,2455.04146605191,1889.63570710399,2299.20720897429,1276.60907327591
"ACADL",516.943074443733,108.81895639161,189.775384296703,100.009499014135,209.337119690092,106.887870802814,210.886868234605,92.7946106167139,276.716852752946,127.846191663335
"ACADM",614.540210905102,591.579417474388,622.336036771869,620.467095924431,536.664252296417,440.678063836161,594.86012832214,731.109053343806,584.417445775527,517.869718404379
"ACADS",886.954196192878,870.551651132879,646.720583357478,693.943462547061,776.450407577794,379.733225220522,604.807622106791,724.547818249695,618.606400555814,591.057031023245
"ACADSB",618.830194925382,737.9903769831,490.871524745102,376.566378940978,471.960051664934,268.157289908813,633.65535408228,410.545853031522,724.378479407326,334.438226017855
"ACAN",161.946896765568,118.711588790847,269.290210119343,125.522126313659,264.525996699298,115.326386918825,301.409061674931,81.5467790268092,194.449680312881,149.153890273891
"ACAP1",223.079169054557,530.245096599117,331.841873099821,812.322053216853,247.398414179199,710.710579548532,250.67684337321,459.286456587776,192.312870639113,583.645657593486
"ACAP2",1121.83082130321,931.88597200815,876.783479404319,939.885189714475,760.274357419924,1202.95735298254,905.221934403257,1169.77448535009,1059.85759818889,1358.13418100325
"ACAP3",854.779316040779,718.205112184625,1242.55167818847,732.722656042338,1014.33349813472,743.5270311108,1083.28207314851,661.747425206061,1505.3824151695,718.90322268658
