"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ABCG2",95.1155763027801,0.00633453095563898,0.176185140913999,0.971414483827297,0.978734195658853
"ABCG4",111.755666703258,0.475759332583327,0.233576659334957,0.031133915964978,0.059432578064229
"ABCG5",281.607104888629,0.485177685339778,0.702960984766872,0.219828467907628,0.308620144652373
"ABCG8",41.7955551173982,2.03873390826699,0.495412004010069,4.15684059023662e-06,2.17903880064379e-05
"ABHD10",222.770156168727,0.646917390325805,0.142611530473869,3.60858363351255e-06,1.91784104581441e-05
"ABHD11",222.282297449048,-0.131513937473208,0.145473783587614,0.355459204914487,0.455452266188072
"ABHD12B",45.1593102976066,-0.0121646258388657,0.362206729697662,0.967139053809579,0.975874931382293
"ABHD13",858.528063543839,-0.930475302339658,0.111080268708157,2.35082163267193e-17,6.91533363610992e-16
"ABHD14A",357.297910695117,-0.245128257460873,0.23040640491506,0.260191135523779,0.354267803903008
"ABHD14B",1857.63169733454,0.182096645565438,0.1394239686187,0.183955358862385,0.266863083879248
"ABHD15",326.125925902628,-0.486511245496245,0.160182488919061,0.0017985013203976,0.00500216744295512
"ABHD16A",2022.68458690908,0.264431897511807,0.113284228232454,0.0181266093892028,0.0374850211739226
"ABHD17B",158.784073696737,-0.784467087438522,0.185685102914623,1.20340963951372e-05,5.74991341023746e-05
"ABHD17C",578.873569731454,-0.0266541465438737,0.16094844901275,0.862981306285962,0.900622320515811
"ABHD18",492.703728679557,1.7074481098978,0.163522017252969,2.59918033461238e-26,1.87247073085341e-24
"ABHD2",1887.00669509955,0.255081791742496,0.150731558782621,0.0835668568783422,0.138156146862377
"ABHD3",53.3958593274794,-0.400826841494693,0.239969281842817,0.0758516972004768,0.127418145578035
"ABHD4",1187.55538472269,0.177639200319228,0.106446039136877,0.0931325479073653,0.151028066020305
"ABHD5",398.878965245903,-1.33894122561183,0.223311821768591,4.55936557596717e-10,4.88305839901824e-09
"ABHD6",204.026498147388,-1.73785644894521,0.252715173631729,9.25868339953002e-13,1.47620381212019e-11
"ABHD8",366.18181717424,-0.0506766888683768,0.141465969662755,0.713007395949954,0.782720521116848
"ABI1",1932.95641024568,0.455258015547167,0.118451155774196,0.00010359317824411,0.000398487346863045
"ABI2",514.844767790775,-1.24643976040292,0.142866353134302,7.10683312604793e-19,2.45952166028913e-17
"ABI3",34.3113651564168,-0.23089793621128,0.327456031869219,0.428365211176346,0.527358435330864
"ABI3BP",1692.84408742847,-1.9687620139983,0.228862102219935,9.77242849852594e-19,3.34919151454335e-17
"ABITRAM",161.374262853501,-0.557644099416825,0.174674275028776,0.000972162644139537,0.00292249742884277
"ABL1",2965.03118351418,1.14231149766543,0.188704127229097,4.30998795497238e-10,4.62720726309383e-09
"ABL2",980.648076721438,0.0989517707323277,0.148128345891225,0.496259093537175,0.591630157323565
"ABLIM1",6264.64787517664,0.134918457721301,0.115905600232183,0.239049192579336,0.330323201207648
"ABLIM2",215.318227282965,0.0880845408701075,0.272175355225835,0.729056586662626,0.795440981306506
"ABLIM3",1462.35705098438,1.10874232620022,0.194755564624176,3.98251594114943e-09,3.62326836913852e-08
