"","BrownBear1_S","BrownBear1_W","BrownBear2_S","BrownBear2_W","BrownBear3_S","BrownBear3_W","BrownBear4_S","BrownBear4_W","BrownBear5_S","BrownBear5_W"
"ACAA2",10.7838121771719,11.041973421081,10.5737062892163,10.9482111954482,10.6552586740625,10.7470057836285,10.6032160028745,11.0097244792674,10.4053437626294,10.8141184069191
"ACACA",11.4560082006617,10.5139794217678,11.2467836066397,10.3709898473588,11.4846675328712,10.6271724389119,11.6144669866154,10.4978293076483,11.9829754381301,10.6019835936705
"ACACB",7.12516048085604,7.82501134771192,6.97619364200639,7.61274014745577,7.36892324904646,7.61777352466986,7.46632886167413,7.95583096699857,7.36761615291301,7.79621779337436
"ACAD10",7.21571239878239,7.23376682856914,7.23549416278909,6.80152785526189,7.23322792217261,7.52156452245528,7.23294411388777,7.25142953808398,7.07922427447136,7.29562675309382
"ACAD11",9.85481182462085,10.1530760491631,9.61977516884317,10.0443565222811,9.51569581010201,9.9134526086651,9.6345156549826,9.90857828263883,9.50973671496266,10.1102707874268
"ACAD8",8.68209393832126,8.33999647289583,8.77484291787829,8.34811868558332,8.55405255828321,7.97408239086923,8.5263447782415,8.26020038587507,8.5053062964818,8.00466698400133
"ACAD9",11.1983112197207,10.7192413340125,11.2822383094915,10.8271439970779,11.2094803086614,10.446274133762,11.1582382599228,10.9010982814536,11.0931510728542,10.5298012929042
"ACADL",8.44952119292905,7.04585954156122,7.50696541543167,6.98097000095531,7.59367470891161,7.03143382733976,7.60012756282451,6.92322985734088,7.84674569579802,7.17372193394866
"ACADM",9.2357199617929,9.19976300157629,9.24766809073907,9.24482876870514,9.10849397183967,8.92762526748617,9.20497709544095,9.40209399481396,9.18828872462006,9.07537490926606
"ACADS",9.65450758567811,9.63634519062309,9.3509625610565,9.4177142249512,9.52535536606749,8.86688243121025,9.28802737907993,9.45890919337812,9.30917812375322,9.26651515503335
"ACADSB",9.15293576015775,9.3241489412928,8.93324111950797,8.68996079247321,8.89660308415546,8.39250204262355,9.17583811786944,8.76813608981899,9.30577074070729,8.58390205666665
"ACAN",7.35657620160546,7.10248079822307,7.80513312770068,7.14701566615769,7.78928412570567,7.0793414115785,7.90961785426842,6.81886079910533,7.51348686740912,7.28750118342762
"ACAP1",8.11615020882686,8.8999047316584,8.46275102673602,9.3198376018228,8.20356644076584,9.18639939622514,8.21510198191565,8.76303827592738,7.99302588704217,8.99280545694182
"ACAP2",10.0862505460145,9.90818000408089,9.85057013681335,9.91630773688516,9.71750368538546,10.1543145752138,9.88066945046226,10.1269961738011,10.031298626478,10.2738388374672
"ACAP3",9.76342492113802,9.59959788461082,10.1268591289877,9.61826822228936,9.92787198801102,9.63187373225094,9.99189621851936,9.52377405705687,10.3187237526367,9.60044539928993
"ACAT1",10.62754071804,10.6195585508825,10.4610100480114,10.562968791125,10.5969195780648,10.7349962838379,10.3747949526996,10.080038378181,10.5719651518354,10.6103916575559
"ACAT2",10.1333137234599,9.65152618002258,10.3999493127537,9.65443810759713,10.2539798340372,9.46676445844474,10.2579231288958,9.94347667742742,10.1962670669699,9.65479393136028
"ACBD3",9.64798787181978,9.62343977237965,9.54310984965709,9.67215529037908,9.58342606487316,9.85826740868997,9.77054127609546,9.76672748364315,9.8488505605847,9.87955234789267
"ACBD4",8.59652109147396,9.07186058717546,8.80551745298443,8.76351717933759,8.82200742116641,8.50413829181805,8.54175589736469,8.9587611387709,8.62697181555508,8.69327008741062
"ACBD5",9.04524674470686,9.15011331564894,8.95561583167336,9.10169697298462,8.80914504405848,9.0672750646859,9.11140262758169,9.15018012578378,9.03211874191761,9.11622379033455
"ACBD6",8.70388993344847,8.98601219933195,8.64246418802034,9.28457287636817,8.66709431399737,9.27640906570458,8.61596405655295,8.88665412707106,8.57080318131281,9.07463490765661
"ACBD7",5.67979097844415,5.91436632156107,5.69815105012144,5.52478144201058,5.48383961011187,5.66781181767991,5.40249413423107,5.61990980690492,5.60974612680659,5.91411191678907
"ACCSL",5.22875312674261,5.41801026490361,5.51742039985861,5.43642235370713,5.7734331959393,5.76317830862014,5.07145951361004,5.1607178879109,5.75992049427826,5.84768704548969
"ACD",7.09460678369057,7.41423068191213,7.14263330880669,7.22228806439077,7.2226460813584,7.06110726480322,6.98105568858519,7.2049312459142,7.12381549486936,7.1422549005118
"ACE2",7.77992012978173,8.95402976577747,7.58685758118876,8.96768778952877,7.5032559160395,8.4090517913574,7.94648025672729,8.27320482816801,6.90595703850717,7.91233487558025
"ACER1",8.59094912817596,7.52689338413746,8.42424088332538,7.48746775716558,8.13088566026254,7.58155750331936,8.46861475471048,7.95454275849223,7.60171208823288,7.13189834546753
"ACER2",8.04132734280314,8.98965889171743,7.86164349889336,8.81539976561135,8.00639409967714,9.00264289782428,7.78510202673232,8.87380442248332,8.22999174116526,8.83896170622515
"ACER3",10.5729597894209,10.2129907069275,10.4794485231002,10.1404556960118,10.5991907611709,10.1293105935373,10.5349000856957,10.4553199234688,10.7729930739675,10.4966698978168
"ACHE",5.95902007744097,6.174046461329,5.93951290122016,5.93741508714481,6.0272724885425,6.04585771811834,5.82563394650334,6.11823121396131,5.84510896737059,5.93840582365505
"ACIN1",11.6053670022678,11.7321024288325,11.9519324663842,11.8429990636002,11.93763425749,11.7047030482321,11.8953503452025,11.6630988959475,11.9155509347832,11.7750718678637
"ACKR1",8.397997619604,8.0667230080365,8.61710074600495,7.5959373130082,8.91875806322285,7.42616345442248,8.35090986719384,8.38882817087632,8.20843299700017,6.96611979351735
"ACKR2",7.34156063041783,7.52453915625775,7.74931574673158,7.59345148297773,7.79212090983231,7.93183157775386,7.41783262721461,7.60432978601571,7.36291788979549,8.10226851606207
"ACKR3",9.13405781358224,9.18423156838639,8.83748907189504,9.12995785335768,9.34404164472123,8.60296580682227,9.22155595382445,8.99711046685713,9.45326050908319,8.6632065615073
"ACKR4",9.73687935678387,10.6123719799548,9.4988343544928,9.72784332305715,9.3308000540028,9.25238176922346,10.0673901919261,10.2055318215155,10.5297638366666,8.96704357277574
"ACLY",11.8656209878394,11.3044233961409,12.1294952567719,11.2354303246207,12.1323180908247,11.3840640633133,12.1369143058051,11.4426651235238,12.3709878879093,11.276682929613
"ACO1",10.6686629752815,10.4990496148405,10.4518858799534,10.7234571299465,10.505994701978,10.6580930776108,10.5414463794713,10.3407130187944,10.8871339103576,10.6122016301702
"ACO2",11.1173165578551,9.96022387678772,11.2046198507464,9.96550779729844,11.1856504054048,9.80921455011602,11.0699456499804,10.2890400730332,11.1458271610944,9.86816077731008
"ACOT11",7.51825703668045,8.021759187574,7.75240963116674,7.71942849837582,7.55406188995226,8.23764709782628,7.65257947185127,8.20957924609416,7.38385946329365,8.40692589742012
"ACOT12",6.56021850595096,6.38082392546136,6.58616265115384,6.40290853373895,6.70063677314984,6.7292223197579,6.52128812055102,6.69563755573455,6.79259633516352,6.7831897939918
"ACOT13",8.84189956076942,8.46116404165842,8.48840943270198,8.13613278201346,8.29974664670139,8.28089715560845,8.47383057735692,8.38381194246784,8.45493238616191,8.460021074629
"ACOT7",8.86952929901692,7.69919725058672,8.8356848805686,7.98471978241484,9.14078525847492,8.06173146493677,8.69967028529339,8.11556301513942,8.33395304676075,8.01253532529911
"ACOT8",8.78370985870872,8.76669767164629,8.86990928502057,8.54343952179425,8.75538548334842,7.88181829395105,8.47904446249277,8.91538655613563,8.4390993762262,8.11136236408415
"ACOT9",10.3772348586876,10.7954198360066,10.613760529431,10.9174399817708,10.6543105479919,10.8190515271939,10.6902999041387,10.6894249125639,10.6476040030125,10.7530963809394
"ACOX1",10.3683683972796,10.7256323925833,10.5421446440959,10.8800466446138,10.2803299561114,10.5329756394182,10.4986851967772,10.689235419365,10.3297978032631,10.2086559079705
"ACOX2",3.73968052215871,3.1822229211455,4.09486314843594,3.22893013364716,4.00152734834816,3.17886322622905,4.30231693266696,3.26069664163499,3.76365802817974,3.36834142229308
"ACOX3",8.85369445194471,9.28999772970635,9.0826713452871,9.52477418390385,9.02634246690641,9.7754109366797,9.0554225642511,9.57952402478027,9.1981587463532,9.98308564287918
"ACOXL",4.95504230346585,4.03398321145502,4.01139093010944,3.88637339407308,4.49253556521203,3.67344057580209,3.9864267584629,3.67337459214812,3.8073513476271,3.67091866482871
"ACP1",9.6071413408447,9.45216588369673,9.53934540804373,9.46258063680954,9.50028873229831,9.67104734156311,9.37078585745247,9.25088764407932,9.31701954316491,9.508836189413
"ACP2",8.29310823939872,8.31011847267232,8.36415351987922,8.40211150130176,8.4921184210099,8.21888889062085,8.41055825869183,8.3819233450523,8.30832241407739,8.28733392956658
"ACP3",10.5974791466125,9.06557187070105,9.85985129500826,9.06144513115667,9.42611408244283,8.24694606300667,9.76571213199848,9.46958810109573,9.28679559886132,8.78475619410985
