"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AFAP1L2",1437.5266572076,-1.12038345354139,0.138618272240472,-8.08250914856138,6.34475771202028e-16,1.59295837293254e-14
"AFDN",4896.63644956188,-0.24875477994242,0.0992444751320573,-2.50648491627791,0.0121938260286237,0.0266395629911138
"AFF2",50.3526765491774,-1.46960001378369,0.413825067424138,-3.55125904511112,0.000383392865897501,0.00128330818947296
"AFF3",79.5240212475416,-1.2707327308317,0.243061221751406,-5.22803564334653,1.71320488096394e-07,1.17359809906252e-06
"AFG2A",130.427380937445,-0.708215777987121,0.230592862412047,-3.07128230500738,0.00213141525220872,0.00582074566013986
"AFMID",96.9066768070795,-0.763875323450761,0.313120441220089,-2.43955750852382,0.0147052618737315,0.0313123262240754
"AGAP2",114.563440487578,-1.9754089822376,0.263802850104834,-7.48820181985364,6.98236038642149e-14,1.30273425814312e-12
"AGER",215.653781754787,-0.635549277446218,0.241329900511722,-2.63352894149703,0.00845026336352673,0.0193773091290434
"AGFG2",203.88176912287,-1.17275116783974,0.210949446527995,-5.55939438164918,2.70712358054477e-08,2.12547736639748e-07
"AGPAT1",631.185473675244,-1.00956347335521,0.231938875149575,-4.35271350136607,1.34462819411602e-05,6.36777237084726e-05
"AGPAT2",1102.08791911753,-1.27716066253716,0.202359894247593,-6.31133292140647,2.76642355516916e-10,3.08838556285488e-09
"AGPAT4",68.6562229224879,-1.34700483717493,0.279837087616937,-4.81353221849855,1.48285681543327e-06,8.51135700565761e-06
"AGPAT5",722.229356200546,-0.651945125576194,0.164230030470365,-3.96970714618383,7.19610226901176e-05,0.000287355667529542
"AGT",697.705819058552,-1.70827942918477,0.351858309045758,-4.8550208571673,1.20374073099243e-06,7.03976935123143e-06
"AGTR1",186.205007550488,-1.00184212973538,0.28598543231834,-3.50312294445893,0.00045983716824176,0.00150633370814162
"AHCY",4519.63537648251,-1.51380025389114,0.263564054774205,-5.74357628238801,9.26975749033693e-09,7.86214414725837e-08
"AHCYL2",716.379186882142,-1.13686149897485,0.186661835214536,-6.09048709752703,1.12567656702608e-09,1.12440245659368e-08
"AHSA1",1920.96062917319,-0.771127628504612,0.233898703562154,-3.29684438930504,0.000977776582854722,0.0029364908435232
"AHSP",15.3939906952205,-5.28232119799081,0.817356542295868,-6.46268907709887,1.02858499753014e-10,1.23752728060034e-09
"AIF1",50.759015679313,-0.994668388692441,0.265113371692141,-3.75186050535197,0.000175527125106816,0.000637066370169709
"AIFM1",461.290980507876,-0.329291659074587,0.115409985466415,-2.85323369328742,0.00432767834079209,0.0108207285330756
"AIMP1",464.284416863308,-0.362341778940561,0.145221139357247,-2.49510354032682,0.0125920381088174,0.0273773679010382
"AIMP2",458.518012138139,-0.672557629717638,0.157457501081108,-4.27135973262523,1.94284713261583e-05,8.85621174862328e-05
"AIP",621.079133332655,-0.532417534721157,0.114351590687707,-4.65596964169201,3.22459450314484e-06,1.7367742746569e-05
"AK1",268.43755792689,-0.483073218533811,0.190998894476068,-2.52919379381193,0.0114324882874752,0.0252103221231806
"AKAP10",587.770218572298,-0.518719687559342,0.120319640701748,-4.31118049001791,1.62385287328133e-05,7.53443827902614e-05
"AKAP6",43.794427969332,-1.35527716297026,0.310450038184469,-4.3655242270093,1.2681824446271e-05,6.03001620357443e-05
"AKIRIN1",551.571497176851,-0.486454594759691,0.141813944638818,-3.43023103968109,0.000603067514413701,0.00191029103183809
"AKIRIN2",545.685596656894,-0.987677983384826,0.114946697799012,-8.59248679863613,8.51069485694327e-18,2.60335813214989e-16
"AKT2",2045.48892270283,-0.227165389623457,0.0929235706825727,-2.44464765995115,0.0144993713994255,0.0309373676498864
"ALCAM",319.56660198761,-1.7460488258854,0.225499205867637,-7.74303758262583,9.7069333080801e-15,2.06917117014026e-13
"ALDH16A1",533.856432598804,-1.1543002753678,0.195914558391549,-5.89185553562001,3.81882968502896e-09,3.48512636715414e-08
"ALDH18A1",876.931534441834,-2.01110147536759,0.164894996343674,-12.1962553137517,3.25449678928348e-34,3.93437454320913e-32
"ALDH1A3",281.432975275521,-2.63929748841734,0.303356797292727,-8.70030772994521,3.30985392919112e-18,1.05640003345793e-16
"ALDH1L1",1164.44235774407,-1.16022381352104,0.273757250388589,-4.23814825680105,2.25370931289566e-05,0.000100959313128448
"ALDH1L2",299.630315144658,-1.58811581253484,0.250189889914889,-6.34764183746632,2.1864037034668e-10,2.49128633739116e-09
"ALDH2",6035.1428703672,-1.00726797178545,0.197881855116813,-5.09024928632714,3.57593089296952e-07,2.32897344136207e-06
"ALDH3B2",553.830811560424,-0.864338945560182,0.385772927329977,-2.24053811018433,0.0250560095204456,0.0494377405243935
"ALG13",417.295639505039,-0.566200507811753,0.201380472288295,-2.81159588801234,0.00492963947675505,0.0121299507548761
"ALG14",145.047570342815,-1.20055459249035,0.144885279831015,-8.28624270105701,1.16882153925674e-16,3.21334893580709e-15
"ALG2",258.674082828952,-0.43724138865252,0.173379370602573,-2.52187666348601,0.0116730628440553,0.0256606749529923
"ALG9",315.321735455386,-0.629892077496794,0.191464293582034,-3.28986708546214,0.00100234717939497,0.00300007253117199
"ALKBH2",392.426607369885,-0.500939508754792,0.132283774616745,-3.78685526782195,0.000152565904777286,0.000562403554577923
"ALKBH7",222.070803970313,-1.6852840235952,0.191901760807666,-8.78201438330874,1.60572549810872e-18,5.33729850124649e-17
"ALMS1",630.075761635264,-0.509109367149879,0.194321699154928,-2.6199306066379,0.00879476611485437,0.0200708070761805
"ALOX12",407.178688939538,-0.90482859354918,0.343715090099113,-2.6324959817396,0.00847600256325162,0.0194338068643013
"ALOX12B",161.377756858681,-0.678560361994618,0.227438606214855,-2.98348804227899,0.00284983171255132,0.00751299921232724
"ALOX15B",24.654520781587,-4.00537244543407,0.891414702340218,-4.4932761765302,7.01357314419395e-06,3.53583450428515e-05
"ALX3",17.49628831383,-1.83703701340243,0.542631401181963,-3.38542334520446,0.000710685557862613,0.00220643801165789
"ALX4",17.9002926246049,-2.83556845828125,0.51323658442251,-5.52487594287888,3.29718503637924e-08,2.5569119460498e-07
"ALYREF",1010.62206134135,-0.526267773891545,0.152143989334096,-3.45901127080284,0.000542162217030823,0.00173921539996256
"AMACR",956.499537204088,-0.522799314400992,0.14208491987158,-3.6794848804047,0.000233705544095454,0.00082234905368516
"AMBRA1",715.284104546122,-0.342752869132677,0.107725593889716,-3.18172178733653,0.00146402379999009,0.00416707306399373
"AMDHD1",63.254274136532,-1.32756607536839,0.314610617187814,-4.21971161442357,2.44615022159941e-05,0.000108724632110878
"AMER2",26.8052069076607,-2.73562917990408,0.627655638808764,-4.35848737867801,1.30964473645294e-05,6.21210147766581e-05
"AMIGO2",30.5997272370962,-1.04142735745955,0.300586713082167,-3.46464867585437,0.000530924575978016,0.00170595644748079
"AMIGO3",51.8538698970569,-1.06168795723588,0.276092870309744,-3.84540157101771,0.000120355170389042,0.000456537450540854
"AMMECR1",335.199212358228,-1.36904819462267,0.187737583181971,-7.29235015929484,3.04594253339905e-13,5.1347550825686e-12
"AMMECR1L",974.601568224119,-0.643993399755283,0.109555772881283,-5.87822423974984,4.14690918024705e-09,3.75156058592314e-08
"AMN",15.2709915500802,-1.11869770615179,0.491604118690246,-2.27560686255493,0.0228695502317464,0.0457235570446674
"AMOT",310.335080589673,-0.883943429051139,0.156783514761809,-5.63798707022264,1.72049423515408e-08,1.38597550207528e-07
"AMOTL1",2663.38639454671,-1.57078648860536,0.107736243653801,-14.5799262656021,3.76923600613048e-48,1.02349254628005e-45
"AMOTL2",1409.94697119771,-0.965942018945221,0.272732126302057,-3.54172437271074,0.000397520615792492,0.00132381865447877
"ANAPC11",580.815724360921,-0.423352572008441,0.153637677787821,-2.75552571546354,0.00585978980597975,0.014082964334905
"ANAPC15",389.701669508501,-0.495444266426527,0.130445782076828,-3.79808575285883,0.000145817879389941,0.000540236266001775
"ANAPC7",689.402530180331,-0.862666351280739,0.145525910685822,-5.92792271297421,3.06790821129336e-09,2.85292834190346e-08
"ANGEL2",530.539025497651,-0.31699382894359,0.132254071089811,-2.39685498020191,0.0165364670563939,0.0346390509785608
"ANGPTL1",143.774803738972,-2.65379777339455,0.419016922326883,-6.33339044795014,2.39831615763751e-10,2.71493979185006e-09
"ANGPTL7",30.6490122470642,-3.24243644341625,0.748441715148544,-4.3322497634605,1.47593370344714e-05,6.9221313279978e-05
"ANKK1",11.7443951022444,-1.32038436656904,0.53784502365315,-2.45495320864126,0.0140902927506822,0.0301629675014603
"ANKLE1",83.1887369494772,-1.01797483262709,0.262397198838277,-3.8795186729661,0.000104663366700084,0.000402025771981825
"ANKRD10",743.499844396233,-0.707864699205365,0.177741060796748,-3.98256146346977,6.81764854827926e-05,0.000273791801768212
"ANKRD13B",351.340884707564,-1.27580276668873,0.176478997859444,-7.22920450684358,4.85831366285661e-13,7.97667313017852e-12
"ANKRD22",614.08898705895,-0.462854524733551,0.179756987402134,-2.57489030842567,0.010027188118955,0.0225136586057188
"ANKRD34B",63.7919713932586,-2.25032828352246,0.477589915651196,-4.71184212600915,2.45487533408987e-06,1.35656072782361e-05
"ANKRD35",527.402711278654,-0.458520408782712,0.202217715781595,-2.26745914427169,0.0233621919946661,0.0465923942040517
"ANKRD50",821.91810711691,-0.569850113181141,0.212988957685687,-2.67549134646728,0.0074619799552945,0.0173226287269431
"ANKRD66",8.20309716978027,-3.28532120206349,0.799367804194777,-4.10989932897395,3.95831646122661e-05,0.000168713560832286
"ANKRD9",581.01756479821,-1.47667878142289,0.218591095368863,-6.75543886603001,1.42403543967075e-11,1.94838957443323e-10
"ANKS4B",109.243575711957,-0.98102326069708,0.364870219990903,-2.6886909562571,0.00717327949410079,0.0167715436575545
"ANO4",18.1324415504413,-4.32667677727386,0.700374915107488,-6.17765811416851,6.50594077914503e-10,6.78663444160223e-09
"ANO8",383.109519720572,-1.51491013670211,0.199976975084019,-7.5754228008781,3.57959919946942e-14,6.95048689445933e-13
"ANP32A",1075.87573124208,-1.20906931862739,0.127125219703883,-9.51085332590741,1.89104865131561e-21,8.44987561916975e-20
"ANP32B",1793.50056995265,-0.865180649655851,0.133821804792016,-6.46516949162735,1.01185330244271e-10,1.21905875686784e-09
"ANPEP",855.089075791155,-0.53920587881536,0.235712768305047,-2.28755481806377,0.0221634596355703,0.0444682115807999
"ANXA6",1093.16735720763,-0.803001221644965,0.137130052732477,-5.85576396744712,4.74822184185931e-09,4.25844082870005e-08
"ANXA9",57.724642605503,-2.23136879928749,0.305448977533455,-7.3052095878864,2.76834885483316e-13,4.7072598543165e-12
"AOAH",39.5698310431469,-1.24772773459342,0.318120902876988,-3.92218091709583,8.77510613948807e-05,0.000343187731801383
"AOPEP",4001.31141759278,-0.429467976917855,0.167208380577924,-2.56845963960347,0.0102151606915016,0.0228745986050499
