"","logFC","logCPM","F","PValue","FDR"
"ATP6V1B1",4.22846115810144,5.45592108287644,237.969568365094,2.01169861691849e-09,5.86472565107954e-07
"OXCT1",-1.94092433722689,6.474930892528,237.041685602187,2.05162657594179e-09,5.86472565107954e-07
"MARCKS",-1.89060432747851,7.24271166433087,236.641071218673,2.07209302002331e-09,5.86472565107954e-07
"LOC130544325",3.16254097026097,3.14648514252658,235.339342034736,2.18568728288623e-09,6.0435991817604e-07
"BEST3",-8.89292406121309,2.23656059892587,346.170135079882,2.20767441216471e-09,6.0435991817604e-07
"WNK4",-2.42512489140896,5.0454647734834,233.18456484526,2.26074668400445e-09,6.08906594777262e-07
"ACTBL2",-7.15389783103959,2.51321452730271,110.325355372024,2.33985493607693e-09,6.12531023883011e-07
"FHOD3",-3.74076996085271,5.05746392884228,231.769925242468,2.34756485589033e-09,6.12531023883011e-07
"ESYT3",1.76219886463905,5.67659744204057,228.43242231579,2.55004655656139e-09,6.55126576123364e-07
"JPT1",-1.9854272092129,6.02209344840681,227.154636912314,2.6352890138458e-09,6.57532788766086e-07
"KCTD11",-2.58380453267456,5.22881397789898,227.128132722227,2.63816377311981e-09,6.57532788766086e-07
"ZNF711",-3.89224474771868,5.53607329718492,224.429231584626,2.83254749489583e-09,6.88187204097345e-07
"S100A3",-9.09903510839918,7.38987905657541,229.828494992213,2.84978272625284e-09,6.88187204097345e-07
"MEX3A",-4.16796697684652,1.12287041823857,188.830993251821,2.89944362491937e-09,6.88187204097345e-07
"AMOTL1",-1.57509025078615,7.35544778443365,223.12429486091,2.92600104742269e-09,6.88187204097345e-07
"WNT10B",-4.44865567125604,2.84304943673071,228.141143457575,2.97258929732842e-09,6.88849783842959e-07
"SERPINF1",-4.78850599600944,6.98968739730627,222.072171734997,3.01132009225319e-09,6.88849783842959e-07
"RSPO4",3.91601525478942,0.26904898873057,135.468983840138,3.10484213346497e-09,6.91920864990826e-07
"COL3A1",-5.61770699662527,12.2423629080723,220.842055941254,3.10761511912761e-09,6.91920864990826e-07
"FOXR1",4.75772592988576,2.42667693853049,216.153312111724,3.21014719763269e-09,7.05345369121951e-07
"NOCT",-1.9843638881737,4.99256368490262,218.84432553425,3.27949926996381e-09,7.11225432586047e-07
"LOC113252263",-8.44407427847562,7.52443197419547,219.202422061974,3.44425518127379e-09,7.37379708616552e-07
"RIN1",2.04209773077113,5.89592296278718,214.706755302678,3.66573894086063e-09,7.6942553583413e-07
"FNDC1",-3.54052862144559,6.32901427467126,214.515374927593,3.68609155438831e-09,7.6942553583413e-07
"LRRN1",-4.8949942417875,3.54205018743525,217.184722013555,3.85030619480164e-09,7.93781026506081e-07
"TCHHL1",-7.61385166644189,2.7325379245803,99.6355930342315,4.27503485463435e-09,8.70595207774865e-07
"LOC130542717",3.6392795838683,3.53024794318857,207.956586794766,4.51226331695904e-09,9.07834760601192e-07
"MAFB",-2.05267443428605,6.50986088754328,206.069036759058,4.65815689223626e-09,9.21725601432343e-07
"KRT36",-5.95883007041894,5.84647341932635,206.338557649268,4.69294223476276e-09,9.21725601432343e-07
"TPM1",-1.78643783843817,9.10107859574356,205.364568891195,4.75208760508355e-09,9.21725601432343e-07
"LOC125282835",-5.53537990830776,3.73366164563431,210.096811588549,4.80209158180812e-09,9.21725601432343e-07
"LOC113268387",5.1795137072538,1.83462833233117,152.447061747466,5.1302044070198e-09,9.5989614690056e-07
"EDN3",-5.22837706300862,1.19175342877919,119.059703431832,5.1676585450999e-09,9.5989614690056e-07
"ADAMTS17",-1.71308728525477,4.86222427660372,202.384515930208,5.17737345998149e-09,9.5989614690056e-07
"AQP8",4.46543940929487,2.99664147245555,206.84159622982,5.23088504508958e-09,9.5989614690056e-07
"BHMT",-6.17888774950876,1.34437827810033,96.818563246025,5.41268797687307e-09,9.6024936606491e-07
"CRABP2",-2.10993170152064,6.31460215929567,200.800161808653,5.41795265987289e-09,9.6024936606491e-07
"SAT1",-2.37887639075368,7.67871594765684,200.524190604136,5.46117420568694e-09,9.6024936606491e-07
"MTHFD2",-3.51352266981268,3.85439457422285,200.830844772855,5.4628235089626e-09,9.6024936606491e-07
"FSCN1",-2.3100426166756,7.1119451671265,198.872740797383,5.73075206040113e-09,9.96852381839985e-07
"DDO",4.90468234424319,1.14282280406229,124.107965426304,5.82345210540724e-09,1.00253429596078e-06
"LOC113265461",-10.496606743304,5.36092753099922,97.184348095974,5.98961902255204e-09,1.01394291344773e-06
"AHSP",-5.07919096385948,0.0765022459358054,98.1481736858926,6.05021294383596e-09,1.01394291344773e-06
"NME1",-2.35120741025979,6.19292690145751,196.33073519457,6.17814661536742e-09,1.01394291344773e-06
"BAMBI",-6.56859897441644,6.04854203210227,197.236649565665,6.18959081190198e-09,1.01394291344773e-06
"CREB3L1",-4.06265683199892,4.67316997871345,196.105924591872,6.25451467032225e-09,1.01394291344773e-06
"C2CD5",1.57114190277337,6.13635543218701,195.691272880594,6.29494489111994e-09,1.01394291344773e-06
"RCC1",-1.43187599242607,5.05470892012964,195.066426061483,6.41507185818913e-09,1.01394291344773e-06
"RNPC3",1.72135984622479,5.6955299848796,195.055893342889,6.41689652837875e-09,1.01394291344773e-06
"GJB2",-4.90901640369493,7.56523160526895,194.96601269574,6.43619071953169e-09,1.01394291344773e-06
"CKB",-4.41003112670283,6.19716316090792,194.403749509767,6.54975508593878e-09,1.02219028205693e-06
"HOXC13",-3.23791411695458,6.78799257240084,192.245635764348,6.98201878115117e-09,1.07568493487718e-06
"LOC113247897",-3.81662285139816,0.735530340851787,159.886148032434,7.0213580395001e-09,1.07568493487718e-06
"LOC113257588",-12.8403677957071,8.12647714203264,95.2737403079738,7.23273153198043e-09,1.09799439865947e-06
"LOC113255612",-10.2452870240201,6.0359224198471,110.008536542011,7.41114916306382e-09,1.10854827767475e-06
"HAPLN1",-5.48435104306499,2.19687067223447,154.091524442559,7.44762338822325e-09,1.10854827767475e-06
"ZRANB3",2.56512847873873,5.70964782855324,189.8929908563,7.50140459771523e-09,1.10854827767475e-06
"BNC2",-2.08531658386902,6.01336990265296,189.036467366092,7.69943012158415e-09,1.12783143509065e-06
"WFDC3",3.03737815701639,3.46252910228532,188.799278383959,7.83110358171185e-09,1.13714433661745e-06
"LOC113251250",-9.62534884230986,4.44199222413039,94.5451877289157,8.10689348773580e-09,1.16704322716983e-06
"LOC113250247",-10.0904086029495,4.90491592561951,94.3545831611973,8.23836261942382e-09,1.17492958659573e-06
"MAB21L4",-3.15451818071985,3.76318246688794,186.802137320495,8.30239482713314e-09,1.17492958659573e-06
"KLHL25",-2.38655615417255,4.33934508467463,186.13252212765,8.4323748044279e-09,1.1832960240264e-06
"TTC39C",1.60218339535825,5.26052898393928,184.824043063561,8.77568666081369e-09,1.21733335107584e-06
"LOC113240981",-1.39344724961782,6.07713247912405,184.651816742902,8.82072791665228e-09,1.21733335107584e-06
"HRCT1",2.1543982882173,5.2689642380378,184.09462392019,8.98132323430977e-09,1.22933702204704e-06
"ZC3H8",1.94549606335195,4.95867809129032,182.455669711005,9.45993158200759e-09,1.28432030478004e-06
"GGT1",-4.8784635499485,2.57351118641388,182.306520659758,9.55087485502509e-09,1.28492092332759e-06
"LOC123001216",5.51933317009415,0.257959879038123,105.670762445037,9.61824752475887e-09,1.28492092332759e-06
"LOC113253006",-13.1711888327747,6.48468700441231,258.752477380385,9.71274688578708e-09,1.28724730353777e-06
"SALL2",-2.82556810536212,3.74452115820595,180.359931794059,1.01562511166525e-08,1.33542706611796e-06
"TMEM169",-3.22700071627094,1.55756056192394,184.18729917318,1.02602008122753e-08,1.3385554169077e-06
"LOC113243545",4.30830639592944,0.25470599951263,98.6256635679327,1.08379009081006e-08,1.40296207181684e-06
