"","logFC","logCPM","F","PValue","FDR"
"UHRF1",-1.86423811900247,4.60739359610766,84.1089937701649,7.40387708876872e-07,2.16907620184823e-05
"LOC130542962",-4.59724191635659,2.04696277128058,82.0596146322703,7.49050863684699e-07,2.18678328193545e-05
"TALDO1",-1.07693298299244,7.04641025610616,83.8313514172793,7.53466115469337e-07,2.19583432150479e-05
"HSPB8",-2.23510302773128,5.30057304685813,83.8047128115234,7.54979118166977e-07,2.19641050422828e-05
"CBX2",-1.01791714986759,5.27933825693061,83.5112508876288,7.69396707070472e-07,2.23058257141837e-05
"FASN",-2.11021292451476,9.09342940827216,83.4801549249036,7.70813960697744e-07,2.23081842802281e-05
"VGLL4",-0.915174703223487,6.75518476892991,83.3658693428445,7.76561722313248e-07,2.23968984471657e-05
"ATP6V1D",-1.0768093261725,5.40878726504451,82.9488711649982,7.98089716222097e-07,2.28598630723719e-05
"BPNT2",-0.904467152469471,6.26703988001845,82.9152239678649,7.99710567963898e-07,2.28668227709398e-05
"SKIC8",-1.01692164063866,5.72331182267866,82.8884996181013,8.01114356211723e-07,2.28668227709398e-05
"TRIL",-1.95058657428394,4.1034763304672,82.8774217204629,8.02440753564329e-07,2.28668227709398e-05
"KNL1",-1.34860640260616,4.20450692152462,82.8363093346403,8.0431773459917e-07,2.28812637990997e-05
"TPPP3",-2.58365296988578,5.75833257840906,82.8017739954928,8.05826946363276e-07,2.2883071799829e-05
"COL15A1",-1.96692247692801,6.82291384933398,82.7741355916466,8.07121940840726e-07,2.2883071799829e-05
"SNN",-2.05629950717839,5.88463974167543,82.6473430596061,8.1399053627411e-07,2.30344073993733e-05
"MRPS11",-1.16112695575949,4.32104877304463,82.6203667593009,8.15737011752892e-07,2.30344073993733e-05
