"","BrownBear1_S","BrownBear1_W","BrownBear2_S","BrownBear2_W","BrownBear3_S","BrownBear3_W","BrownBear4_S","BrownBear4_W","BrownBear5_S","BrownBear5_W"
"ABHD8",4.64879723054532,4.65246404063423,4.21116538853999,4.46445789932999,4.40307546932031,4.49617866851714,4.79812182819795,4.25787391526708,4.50501294211176,4.45033301622405
"ABI1",6.76522361749005,6.91460704796166,6.38663490763958,7.13039082701368,6.53359240719134,7.07830309207734,6.75112729776229,7.31074864120516,6.75058734415364,7.05221396148317
"ABI2",5.39566873592781,4.03580611725011,5.36957850810087,3.89565131335095,5.57769644921601,4.27081179628245,5.37670670188699,4.35447684843368,5.68972785375658,4.47263466219247
"ABI3",1.18451122746903,1.41862055000866,1.09591375004121,0.642072634576103,1.88602996250052,0.40531407802712,0.883975492461014,1.66674550229019,1.16431991833674,0.454904076189941
"ABI3BP",7.06820466178989,5.05436797998478,7.18875511286418,5.64850778074726,7.2339335126802,4.97990029788751,7.51715338990759,5.95662503143723,7.79435485309598,4.90312799560913
"ABITRAM",3.48574708163064,3.31656749366407,3.72852200175681,2.61510490819483,3.5513370604711,2.70818054855099,3.48564704584769,3.25838085115401,3.67488532279852,3.0021297384469
"ABL1",6.74782970604647,7.65765969308084,6.75383748896081,8.10932159314858,6.72074295614937,8.25806678191364,6.80533137598469,7.3183188004384,6.99526427090571,8.30482229780337
"ABL2",5.50738312127049,5.8963363466516,5.84956585699405,5.74588913505843,5.7256084096401,5.79865747443295,6.1315316746951,6.11248800811722,6.03539847937252,6.2066328544385
"ABLIM1",8.61536477898943,8.8463642974879,8.27520104290326,8.69036298368147,8.38745508836536,8.4586456993041,8.60621716652682,8.57855961217396,8.6751020215437,8.66300366528895
"ABLIM2",3.24911361499381,2.79193339738941,3.64850343320746,3.26745268455246,4.02625810916555,4.31713299572081,3.98912427111956,3.75341153166531,3.36754846323005,4.24108340269487
"ABLIM3",5.78486050316581,7.33725066259762,5.49343035141655,6.47377985931199,6.09434912632387,6.82211456105154,5.95954386141636,7.26501446300452,5.64364592786391,6.65153250970229
"ABR",7.2583187293152,7.84693677353501,7.0420199477213,7.81530201586353,7.12732415316861,7.92864011306447,7.10534106057261,7.79263907439727,7.13811333850655,7.82473546247332
"ABRACL",2.36198497487929,0.714225662896024,2.28339770726104,0.389976249126327,2.66286567400722,0.738061120535002,1.73238089019688,0.532903543341102,2.20962049207594,0.623845299917725
"ABRAXAS1",3.65951822974274,3.95899263285133,3.74260574894955,4.00648078768552,3.68878750243254,3.96709405253726,3.71934203736213,4.43736400166946,3.64464554486972,4.01156284272509
"ABRAXAS2",4.46940938844089,4.87186286493375,4.54431740223687,5.08846900857912,4.64188069499,5.00584270792308,4.62179112879621,4.74377636258366,4.40933182522024,5.17201266471768
"ABT1",5.16351578284697,4.81384280000814,5.29269427064872,4.84960493675703,5.36033414283813,4.68142463879486,5.27945635782573,4.63760461442014,5.19694504492906,4.34144216886439
"ABTB1",5.07143287918698,5.18297100512356,4.59176894965217,4.99535065416939,4.50711076988417,4.8136124232735,4.56664689010629,5.04249306726603,4.2376301708563,4.8069406424886
"ABTB2",4.56387896158972,4.09854022870861,4.72896287771661,4.36724131994933,4.29526283832651,4.14572025317877,4.28169737135088,4.59008929608914,4.30685142729345,4.21044696563617
"ABTB3",5.06020279909083,5.57551401960179,4.98142078467597,5.89588146514262,4.56539748831209,5.97317088451195,4.85446214755555,5.03996918131557,4.7869704293481,5.54080406022966
"ACAA1",7.18460488065596,6.0791991373582,6.66234238932502,6.22628683980427,6.69241552005708,5.94662877058403,6.23772462372957,5.99752285283263,6.19715203339096,5.79054093923148
