"","x"
"104",0.0323959838727038
"105",0.0926167045102191
"106",0.0288751953970269
"107",0.0532125725620359
"108",0.0783305328081562
"109",0.0638654502232734
"110",0.047891481325197
"111",0.0311517563140938
"112",0.0312550087122614
"113",0.0404273783527754
"114",0.0297361024547496
"115",0.0254372521074009
"116",0.0433061288003816
"117",0.0216626532521899
"118",0.0289232811831233
"119",0.0743680023807608
"120",0.191618752778251
"121",0.0420343430546912
"122",0.158583016477091
"123",0.114213832105586
"124",0.034199995617037
"125",0.0318510066655918
"126",0.0486332160125581
"127",0.0290456251208417
"128",0.184086942552085
"129",0.0740708897985033
"130",0.06346890900487
"131",0.24756088086128
"132",0.0338421826752098
"133",0.0351221128517194
"134",0.0320677784945395
"135",0.0572101752179528
"136",0.0626798065576697
"137",0.0422439926349305
"138",0.0601228042014467
"139",0.104747769179807
"140",0.0246866112874001
"141",0.0424518405916933
"142",0.204445517597062
"143",0.0448094683282343
"144",0.405084797503689
"145",0.0273037158114725
"146",0.0248313959840213
"147",0.177506414618062
"148",0.0510870673604254
"149",0.023687388156574
"150",0.15669468080683
"151",0.0812737869933372
"152",0.0481559938056189
"153",0.107454861331393
"154",0.0308278825218959
"155",0.0828251148203232
"156",0.0264776435753896
"157",0.0284397689946735
"158",0.0784494213282679
"159",0.1082226541685
"160",0.121182259174028
"161",0.028875942049524
"162",0.0407937274974638
"163",0.0713075272649142
"164",0.552831419861668
"165",0.0508021764854293
"166",0.0448530939910352
"167",0.339667991880242
"168",0.141152707343411
"169",0.0510658792703044
"170",0.10091950438928
"171",0.0214422926673174
"172",0.0796833722040066
"173",0.0538846299861111
"174",0.0757128317382352
"175",0.026931274082578
"176",0.0183084239386362
"177",0.023770585256544
"178",0.0194938511006995
"179",0.0247039349217325
"180",0.0253088922839722
"181",0.0285017556862211
"182",0.0366261772586509
"183",0.0309302871008621
"184",0.0350861655596702
"185",0.0284455201097907
"186",0.0241190475735954
"187",0.239496597386528
"188",0.0774951451167721
"189",0.0421443400285067
"190",0.0296800746761069
"191",0.0321887795006938
"192",0.0366627374494921
"193",0.0426192899762452
"194",0.0608676340929202
"195",0.114675711738295
"196",0.0322364352989743
"197",0.0589916188350055
"198",0.155746681175013
"199",0.0907083978281258
"200",0.0332068607399378
"201",0.0469566304428792
"202",0.0940125908106326
"203",0.0826792117729415
"204",0.0673965088418032
"205",0.393014270716706
"206",0.0197290038058181
"207",0.183305267148062
"208",0.0419493176655539
"209",0.0796820122666524
"210",0.127428657942365
"211",0.0856964230404427
"212",0.0552441756859094
"213",0.141046081034051
"214",0.0245701247296921
"215",0.17475777460525
"216",0.224014953818823
"217",0.0677018416481886
"218",0.14887941611867
"219",0.0998273283228211
"220",0.220284288082276
"221",0.103668441049903
"222",0.177913252360186
"223",0.076441764364226
"224",0.162652952865657
"225",0.23579001156556
"226",0.0614749462054909
"227",0.0774741771377831
"228",0.0472879933155475
"229",0.0439541250969046
"230",0.0548428640957194
"231",0.0957115219229196
"232",0.0472312296156571
"233",0.0293768539930193
"234",0.0295721565165802
"235",0.188600739659149
"236",0.0295177685746309
"237",0.11150468451784
"238",0.0250541208682622
"239",0.0570263662984394
"240",0.134763270432978
"241",0.113234113437173
"242",0.0573924679550284
"243",0.0525992164157368
"244",0.260712017818502
"245",0.0349465803196649
"246",0.0569203322822048
"247",0.0262387821238935
"248",0.108825083433417
"249",0.0204966662386272
"250",0.0346566264607544
"251",0.072068228251651
"252",0.0590700412945849
"253",0.0233406238582991
"254",0.0607971712242916
"255",0.10534998547558
"256",0.096332176864071
"257",0.0925333836021196
"258",0.29680416462447
"259",0.0357829763258801
"260",0.0630384423552555
"261",0.0705225517644774
"262",0.0488470417045182
"263",0.0289479974930806
"264",0.0502328344974877
"265",0.0269159114325069
"266",0.0541387939325234
"267",0.037813888855515
"268",0.0366835860605342
"269",0.112477611877626
"270",0.0938899341631092
"271",0.101735506821855
"272",0.163379920072579
"273",0.0247530486518168
"274",0.0447500523797825
"275",0.0398052850877296
"276",0.149167893759374
"277",0.365114637185122
"278",0.0413088532382142
"279",0.0482121468333239
"280",0.0600415724710365
"281",0.0280051463723581
"282",0.0217149467871447
"283",0.0617463825410671
"284",0.161962511638759
"285",0.0270471976169873
"286",0.0287570058502999
"287",0.0193322850007069
"288",0.142998646617478
"289",0.115258867215638
"290",0.0729228064483918
"291",0.0367888222151909
"292",0.0464816876304248
"293",0.0572781367412989
"294",0.0267439407243328
"295",0.0924920822287021
"296",0.176884488872396
"297",0.0378495436067263
"298",0.16228401199237
"299",0.0690543145509837
"300",0.281727813242843
"301",0.163359486302717
"302",0.0274865836530505
"303",0.164326770066307
"304",0.023508996874974
"305",0.254369868265224
"306",0.097125723988392
"307",0.0250386159911727
"308",0.0363902569305173
"309",0.0275486547042531
"310",0.0607065196172592
"311",0.0271832892191571
"312",0.0256691424843136
"313",0.0425187880290422
"314",0.189945693475084
"315",0.0699774085771903
"316",0.0281619298784485
"317",0.0478891395867613
"318",0.0708939400138605
"319",0.0421960076881449
"320",0.0245109227724896
