"","logFC","logCPM","F","PValue","FDR"
"LOC123001423",6.11230047269707,0.96651325570788,81.5057254807243,3.67960906828787e-08,3.1033228197646e-06
"PCGF5",1.65244475193687,5.82948944113825,141.649178591888,4.05413718098319e-08,3.24176384164809e-06
"CAPN7",1.11379280566416,6.65920907562063,141.45939563531,4.08429790360356e-08,3.24176384164809e-06
"LOC130544650",6.44740275599629,1.50802421728473,76.0251097787881,4.09612653804268e-08,3.24176384164809e-06
"LOC125281767",3.5722116739643,2.74342049483118,139.740967335776,4.65651585012111e-08,3.59996102690613e-06
"TLR2",1.78578260901166,4.44458614652322,136.252448387169,5.06008857336579e-08,3.8583753007596e-06
"CCDC150",2.46861019963375,2.81383234313101,136.103539445674,5.14350728046334e-08,3.86918644634114e-06
"LOC113251385",2.96689977383322,3.16330280522086,135.079955873078,5.37421517634395e-08,3.95348102333778e-06
"LOC123000429",2.96077305740492,4.89168944429439,134.587634590678,5.428290509019e-08,3.97574663202229e-06
"LOC130543919",3.54727344754931,2.62308024017718,135.605435860351,5.57142977433455e-08,4.02758899574081e-06
"LOC113254331",3.54658982539943,1.95030793714963,136.180592733048,5.69873454245211e-08,4.0907159688488e-06
"LOC125282219",3.5535549839706,1.93725213419511,135.940163658714,5.7516291195139e-08,4.0907159688488e-06
"FAM3C",1.1299273654272,6.32056001683611,133.174078372481,5.75674143768769e-08,4.0907159688488e-06
"LOC130544070",3.53784660833455,1.92772874428691,134.596204486548,6.08313507539004e-08,4.2388872228352e-06
"ABHD18",1.72612018049348,4.92379117221248,131.569054034851,6.16924703062144e-08,4.25167602774211e-06
"SEZ6L2",3.77307364813378,3.78936759896431,131.431991322072,6.28850854968378e-08,4.3037624701299e-06
"RBAK",1.42863805997776,5.87255711192054,130.165472659394,6.55316174404008e-08,4.44842471397257e-06
"USP45",1.39175429465582,4.87073285515328,129.276649273143,6.81386654190044e-08,4.55139029532782e-06
"SPINK5",2.64482356196776,8.92886152225548,128.717308649728,6.98118023404309e-08,4.64457086566875e-06
"TTC21A",1.77142094111972,3.75360587203169,126.237549465989,7.80540911597458e-08,5.02226178803111e-06
"ZNF383",1.78075446857997,4.29933158894009,125.215207366326,8.16637650716176e-08,5.20497409515627e-06
"FAM76B",1.34868218912498,5.44938961318747,124.494882202659,8.43093340646353e-08,5.34052602029157e-06
"HELZ2",1.02727063243193,6.09611059514504,124.051103901119,8.60064241160702e-08,5.37910590379871e-06
"SLC6A6",1.40185763553842,7.85328574722177,123.755360208508,8.71712817083793e-08,5.41677729777427e-06
"PELI3",2.59993417786699,3.42471033019017,123.675312418435,8.79429353319389e-08,5.43910769299277e-06
